DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,1000000,1000000,0.02,0.2,true,1016287.997,122069.435
Usual:this_node_read,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Usual:this_node_read_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests,1000000,1000000,0.02,0.2,true,249898.500,106.806
Usual:cross_node_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:requests,1000000,1000000,0.02,0.2,true,1499858.500,106.806
Usual:same_set_requests_true,1000000,1000000,0.02,0.2,true,40463.500,166.559
Usual:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_false,1000000,1000000,0.02,0.2,true,209435.000,271.124
Usual:this_node_read_success,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.02,0.2,true,36,0
ParallelUnions/squashing,1000000,1000000,0.02,0.2,true,878155.285,259868.520
ParallelUnions/squashing:this_node_read,1000000,1000000,0.02,0.2,true,7101960.833,28271.908
ParallelUnions/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
ParallelUnions/squashing:this_node_read_per_op,1000000,1000000,0.02,0.2,true,4.735,0.019
ParallelUnions/squashing:same_set_requests,1000000,1000000,0.02,0.2,true,249898.500,106.806
ParallelUnions/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,1675909.000,283.720
ParallelUnions/squashing:cross_node_read_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:global_data_read_write_per_op,1000000,1000000,0.02,0.2,true,1.118,0.000
ParallelUnions/squashing:this_node_read_success_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_write_per_op,1000000,1000000,0.02,0.2,true,1.117,0.000
ParallelUnions/squashing:this_node_write,1000000,1000000,0.02,0.2,true,2444316.833,9435.812
ParallelUnions/squashing:this_node_write_per_op,1000000,1000000,0.02,0.2,true,1.630,0.006
ParallelUnions/squashing:requests,1000000,1000000,0.02,0.2,true,1499858.500,106.806
ParallelUnions/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40291.167,72.712
ParallelUnions/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,1676218.667,327.960
ParallelUnions/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209607.333,40.981
ParallelUnions/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:hist_begin,1000000,1000000,0.02,0.2,true,36,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.02,0.2,true,72,0
Adaptive2/squashing,1000000,1000000,0.02,0.2,true,790414.940,300913.564
Adaptive2/squashing:this_node_read,1000000,1000000,0.02,0.2,true,10342760.333,49494.246
Adaptive2/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Adaptive2/squashing:this_node_read_per_op,1000000,1000000,0.02,0.2,true,6.896,0.033
Adaptive2/squashing:same_set_requests,1000000,1000000,0.02,0.2,true,249898.500,106.806
Adaptive2/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,15095.500,79.400
Adaptive2/squashing:cross_node_read_per_op,1000000,1000000,0.02,0.2,true,0.266,0.021
Adaptive2/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,399239.000,30985.332
Adaptive2/squashing:global_data_read_write_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success_per_op,1000000,1000000,0.02,0.2,true,2.256,0.012
Adaptive2/squashing:cross_node_write_per_op,1000000,1000000,0.02,0.2,true,0.010,0.000
Adaptive2/squashing:this_node_write,1000000,1000000,0.02,0.2,true,1571429.333,29290.822
Adaptive2/squashing:this_node_write_per_op,1000000,1000000,0.02,0.2,true,1.048,0.019
Adaptive2/squashing:requests,1000000,1000000,0.02,0.2,true,1499858.500,106.806
Adaptive2/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40309.167,31.568
Adaptive2/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209589.333,113.970
Adaptive2/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,3382997.667,18064.421
Adaptive2/squashing:hist_begin,1000000,1000000,0.02,0.2,true,72,0
Adaptive2/squashing:hist_end,1000000,1000000,0.02,0.2,true,108,0
Adaptive3/squashing,1000000,1000000,0.02,0.2,true,650436.174,233853.802
Adaptive3/squashing:this_node_read,1000000,1000000,0.02,0.2,true,9899147.000,101906.685
Adaptive3/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Adaptive3/squashing:this_node_read_per_op,1000000,1000000,0.02,0.2,true,6.600,0.067
Adaptive3/squashing:same_set_requests,1000000,1000000,0.02,0.2,true,249898.500,106.806
Adaptive3/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,14532.167,120.345
Adaptive3/squashing:cross_node_read_per_op,1000000,1000000,0.02,0.2,true,0.214,0.052
Adaptive3/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,321216.000,77779.477
Adaptive3/squashing:global_data_read_write_per_op,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success_per_op,1000000,1000000,0.02,0.2,true,3.003,0.060
Adaptive3/squashing:cross_node_write_per_op,1000000,1000000,0.02,0.2,true,0.010,0.000
Adaptive3/squashing:this_node_write,1000000,1000000,0.02,0.2,true,1525189.833,53102.278
Adaptive3/squashing:this_node_write_per_op,1000000,1000000,0.02,0.2,true,1.017,0.035
Adaptive3/squashing:requests,1000000,1000000,0.02,0.2,true,1499858.500,106.806
Adaptive3/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40294.167,119.638
Adaptive3/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209604.333,18.217
Adaptive3/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,4504514.500,90395.234
Adaptive3/squashing:hist_begin,1000000,1000000,0.02,0.2,true,108,0
Adaptive3/squashing:hist_end,1000000,1000000,0.02,0.2,true,144,0
Usual,1000000,2000000,0.02,0.2,true,1216529.685,68396.933
Usual:this_node_read,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Usual:this_node_read_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests,1000000,2000000,0.02,0.2,true,499873.000,565.250
Usual:cross_node_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:requests,1000000,2000000,0.02,0.2,true,2999793.000,565.250
Usual:same_set_requests_true,1000000,2000000,0.02,0.2,true,254663.167,463.137
Usual:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_false,1000000,2000000,0.02,0.2,true,245209.833,113.327
Usual:this_node_read_success,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:hist_begin,1000000,2000000,0.02,0.2,true,144,0
Usual:hist_end,1000000,2000000,0.02,0.2,true,180,0
ParallelUnions/squashing,1000000,2000000,0.02,0.2,true,1151446.464,158678.847
ParallelUnions/squashing:this_node_read,1000000,2000000,0.02,0.2,true,10701063.167,393035.588
ParallelUnions/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
ParallelUnions/squashing:this_node_read_per_op,1000000,2000000,0.02,0.2,true,3.567,0.132
ParallelUnions/squashing:same_set_requests,1000000,2000000,0.02,0.2,true,499873.000,565.250
ParallelUnions/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,1961757.000,106.258
ParallelUnions/squashing:cross_node_read_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:global_data_read_write_per_op,1000000,2000000,0.02,0.2,true,0.654,0.000
ParallelUnions/squashing:this_node_read_success_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_write_per_op,1000000,2000000,0.02,0.2,true,0.654,0.000
ParallelUnions/squashing:this_node_write,1000000,2000000,0.02,0.2,true,3234174.167,115742.838
ParallelUnions/squashing:this_node_write_per_op,1000000,2000000,0.02,0.2,true,1.078,0.039
ParallelUnions/squashing:requests,1000000,2000000,0.02,0.2,true,2999793.000,565.250
ParallelUnions/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254677.500,117.957
ParallelUnions/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,1962284.833,148.323
ParallelUnions/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,245195.500,449.841
ParallelUnions/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:hist_begin,1000000,2000000,0.02,0.2,true,180,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.02,0.2,true,216,0
Adaptive2/squashing,1000000,2000000,0.02,0.2,true,900115.764,150265.226
Adaptive2/squashing:this_node_read,1000000,2000000,0.02,0.2,true,17045657.333,189131.903
Adaptive2/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive2/squashing:this_node_read_per_op,1000000,2000000,0.02,0.2,true,5.682,0.064
Adaptive2/squashing:same_set_requests,1000000,2000000,0.02,0.2,true,499873.000,565.250
Adaptive2/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,16796.333,24.833
