DSU,Parameter Set,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,0,0,1000000,4000000,0.02,0,true,1549994.382,110807.800
Usual:cross_node_read,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_read,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:cross_node_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_read_success,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:this_node_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Usual:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Usual:hist_begin,0,0,1000000,4000000,0.02,0,true,0,0
Usual:hist_end,0,0,1000000,4000000,0.02,0,true,36,0
Usual,0,1,1000000,400,0.02,0.9999,true,2977074.663,354058.741
Usual:cross_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
Usual:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
Usual:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
Usual:hist_begin,0,1,1000000,400,0.02,0.9999,true,36,0
Usual:hist_end,0,1,1000000,400,0.02,0.9999,true,72,0
Usual,0,2,1000000,400,0.02,0.9999,true,3007777.018,360559.962
Usual:cross_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:this_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
Usual:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
Usual:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
Usual:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
Usual:hist_begin,0,2,1000000,400,0.02,0.9999,true,72,0
Usual:hist_end,0,2,1000000,400,0.02,0.9999,true,108,0
ParallelUnions/halfing,0,0,1000000,4000000,0.02,0,true,1064635.081,139933.312
ParallelUnions/halfing:cross_node_read,0,0,1000000,4000000,0.02,0,true,999782.167,28.548
ParallelUnions/halfing:this_node_read,0,0,1000000,4000000,0.02,0,true,33366884.667,3167387.949
ParallelUnions/halfing:cross_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/halfing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,0,1000000,4000000,0.02,0,true,1999295.000,5.477
ParallelUnions/halfing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,2000981.833,296.282
ParallelUnions/halfing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_false,0,0,1000000,4000000,0.02,0,true,0.000,0.000
ParallelUnions/halfing:union_requests,0,0,1000000,4000000,0.02,0,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,0,1000000,4000000,0.02,0,true,108,0
ParallelUnions/halfing:hist_end,0,0,1000000,4000000,0.02,0,true,144,0
ParallelUnions/halfing,0,1,1000000,400,0.02,0.9999,true,1864740.775,401538.331
ParallelUnions/halfing:cross_node_read,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read,0,1,1000000,400,0.02,0.9999,true,37098801.000,4389302.843
ParallelUnions/halfing:cross_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read_success,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:global_data_read_write,0,1,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_true,0,1,1000000,400,0.02,0.9999,true,3996785.000,50.390
ParallelUnions/halfing:same_set_requests_false,0,1,1000000,400,0.02,0.9999,true,2808.500,32.316
ParallelUnions/halfing:union_requests,0,1,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,1,1000000,400,0.02,0.9999,true,144,0
ParallelUnions/halfing:hist_end,0,1,1000000,400,0.02,0.9999,true,180,0
ParallelUnions/halfing,0,2,1000000,400,0.02,0.9999,true,2244325.499,296410.309
ParallelUnions/halfing:cross_node_read,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read,0,2,1000000,400,0.02,0.9999,true,5411752.167,381467.964
ParallelUnions/halfing:cross_node_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_read_success,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:this_node_write,0,2,1000000,400,0.02,0.9999,true,1085198.500,89090.979
ParallelUnions/halfing:global_data_read_write,0,2,1000000,400,0.02,0.9999,true,0.000,0.000
ParallelUnions/halfing:same_set_requests_true,0,2,1000000,400,0.02,0.9999,true,3996801.500,81.611
ParallelUnions/halfing:same_set_requests_false,0,2,1000000,400,0.02,0.9999,true,2792.500,89.279
ParallelUnions/halfing:union_requests,0,2,1000000,400,0.02,0.9999,true,4000000.000,0.000
ParallelUnions/halfing:hist_begin,0,2,1000000,400,0.02,0.9999,true,180,0
ParallelUnions/halfing:hist_end,0,2,1000000,400,0.02,0.9999,true,216,0
Adaptive2/halfing,0,0,1000000,4000000,0.02,0,true,800472.517,308569.054
Adaptive2/halfing:cross_node_read,0,0,1000000,4000000,0.02,0,true,5632343.833,1504758.937
Adaptive2/halfing:this_node_read,0,0,1000000,4000000,0.02,0,true,39735088.000,2373526.311
Adaptive2/halfing:cross_node_write,0,0,1000000,4000000,0.02,0,true,18390.167,617.763
Adaptive2/halfing:this_node_read_success,0,0,1000000,4000000,0.02,0,true,6581888.500,1250926.233
Adaptive2/halfing:this_node_write,0,0,1000000,4000000,0.02,0,true,981422.667,612.340
Adaptive2/halfing:global_data_read_write,0,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,0,1000000,4000000,0.02,0,true,0.000,0.000
