index,metric,point,value
0,hist_cross_node_find_depth,0,0
1,hist_cross_node_read,0,1249960
2,hist_local_find_depth,0,0
3,hist_find_depth,0,1905520
3,hist_find_depth,1,406537
3,hist_find_depth,2,80307
3,hist_find_depth,3,10718
3,hist_find_depth,4,1075
3,hist_find_depth,5,81
3,hist_find_depth,6,2
4,hist_cross_node_write,0,1249960
5,hist_all_cross_node_access,0,1249960
6,hist_cross_node_find_depth,0,0
7,hist_cross_node_read,0,1249960
8,hist_local_find_depth,0,0
9,hist_find_depth,0,1897416
9,hist_find_depth,1,411291
9,hist_find_depth,2,87076
9,hist_find_depth,3,12545
9,hist_find_depth,4,1323
9,hist_find_depth,5,116
9,hist_find_depth,6,4
9,hist_find_depth,7,1
10,hist_cross_node_write,0,1249960
11,hist_all_cross_node_access,0,1249960
12,hist_cross_node_find_depth,0,0
13,hist_cross_node_read,0,1249960
14,hist_local_find_depth,0,0
15,hist_find_depth,0,1905445
15,hist_find_depth,1,406823
15,hist_find_depth,2,80045
15,hist_find_depth,3,10573
15,hist_find_depth,4,1032
15,hist_find_depth,5,66
15,hist_find_depth,6,4
16,hist_cross_node_write,0,1249960
17,hist_all_cross_node_access,0,1249960
18,hist_cross_node_find_depth,0,0
19,hist_cross_node_read,0,1249960
20,hist_local_find_depth,0,0
21,hist_find_depth,0,1861245
21,hist_find_depth,1,437749
21,hist_find_depth,2,119639
21,hist_find_depth,3,17670
21,hist_find_depth,4,1689
21,hist_find_depth,5,151
21,hist_find_depth,6,8
21,hist_find_depth,7,1
22,hist_cross_node_write,0,1249960
23,hist_all_cross_node_access,0,1249960
24,hist_cross_node_find_depth,0,0
25,hist_cross_node_read,0,1249960
26,hist_local_find_depth,0,0
27,hist_find_depth,0,1836965
27,hist_find_depth,1,450837
27,hist_find_depth,2,141539
27,hist_find_depth,3,20561
27,hist_find_depth,4,1927
27,hist_find_depth,5,144
27,hist_find_depth,6,6
27,hist_find_depth,7,1
28,hist_cross_node_write,0,1249960
29,hist_all_cross_node_access,0,1249960
30,hist_cross_node_find_depth,0,0
31,hist_cross_node_read,0,1249960
32,hist_local_find_depth,0,0
33,hist_find_depth,0,1848175
33,hist_find_depth,1,442957
33,hist_find_depth,2,132087
33,hist_find_depth,3,20595
33,hist_find_depth,4,2136
33,hist_find_depth,5,196
33,hist_find_depth,6,4
34,hist_cross_node_write,0,1249960
35,hist_all_cross_node_access,0,1249960
36,hist_cross_node_find_depth,0,0
37,hist_cross_node_read,0,1249960
38,hist_local_find_depth,0,0
38,hist_local_find_depth,1,1923372
38,hist_local_find_depth,2,418842
38,hist_local_find_depth,3,134681
38,hist_local_find_depth,4,19758
38,hist_local_find_depth,5,2684
38,hist_local_find_depth,6,455
38,hist_local_find_depth,7,99
38,hist_local_find_depth,8,22
38,hist_local_find_depth,9,6
38,hist_local_find_depth,10,1
39,hist_find_depth,0,0
39,hist_find_depth,1,1923372
39,hist_find_depth,2,418842
39,hist_find_depth,3,134681
39,hist_find_depth,4,19758
39,hist_find_depth,5,2684
39,hist_find_depth,6,455
39,hist_find_depth,7,99
39,hist_find_depth,8,22
39,hist_find_depth,9,6
39,hist_find_depth,10,1
40,hist_cross_node_write,0,412135
40,hist_cross_node_write,1,0
40,hist_cross_node_write,2,837825
41,hist_all_cross_node_access,0,412069
41,hist_all_cross_node_access,1,52
41,hist_all_cross_node_access,2,10
41,hist_all_cross_node_access,3,4
41,hist_all_cross_node_access,4,837673
41,hist_all_cross_node_access,5,121
41,hist_all_cross_node_access,6,18
41,hist_all_cross_node_access,7,13
