index,metric,point,value
0,hist_cross_node_find_depth,0,0
1,hist_cross_node_read,0,4000000
2,hist_local_find_depth,0,0
3,hist_find_depth,0,2057030
3,hist_find_depth,1,692723
3,hist_find_depth,2,117283
3,hist_find_depth,3,19136
3,hist_find_depth,4,2511
3,hist_find_depth,5,210
3,hist_find_depth,6,24
3,hist_find_depth,7,1
4,hist_cross_node_write,0,4000000
5,hist_all_cross_node_access,0,4000000
6,hist_cross_node_find_depth,0,0
7,hist_cross_node_read,0,4000000
8,hist_local_find_depth,0,0
9,hist_find_depth,0,2061739
9,hist_find_depth,1,715580
9,hist_find_depth,2,121282
9,hist_find_depth,3,18380
9,hist_find_depth,4,2124
9,hist_find_depth,5,194
9,hist_find_depth,6,11
10,hist_cross_node_write,0,4000000
11,hist_all_cross_node_access,0,4000000
12,hist_cross_node_find_depth,0,0
13,hist_cross_node_read,0,4000000
14,hist_local_find_depth,0,0
15,hist_find_depth,0,2055394
15,hist_find_depth,1,717779
15,hist_find_depth,2,129623
15,hist_find_depth,3,21746
15,hist_find_depth,4,2591
15,hist_find_depth,5,228
15,hist_find_depth,6,16
15,hist_find_depth,7,1
16,hist_cross_node_write,0,4000000
17,hist_all_cross_node_access,0,4000000
18,hist_cross_node_find_depth,0,0
19,hist_cross_node_read,0,4000000
20,hist_local_find_depth,0,0
21,hist_find_depth,0,2063268
21,hist_find_depth,1,658019
21,hist_find_depth,2,97118
21,hist_find_depth,3,13685
21,hist_find_depth,4,1669
21,hist_find_depth,5,177
21,hist_find_depth,6,12
22,hist_cross_node_write,0,4000000
23,hist_all_cross_node_access,0,4000000
24,hist_cross_node_find_depth,0,0
25,hist_cross_node_read,0,4000000
26,hist_local_find_depth,0,0
27,hist_find_depth,0,2061826
27,hist_find_depth,1,664733
27,hist_find_depth,2,100692
27,hist_find_depth,3,14893
27,hist_find_depth,4,1792
27,hist_find_depth,5,164
27,hist_find_depth,6,15
27,hist_find_depth,7,5
28,hist_cross_node_write,0,4000000
29,hist_all_cross_node_access,0,4000000
30,hist_cross_node_find_depth,0,0
31,hist_cross_node_read,0,4000000
32,hist_local_find_depth,0,0
33,hist_find_depth,0,2058511
33,hist_find_depth,1,692024
33,hist_find_depth,2,114163
33,hist_find_depth,3,17363
33,hist_find_depth,4,2147
33,hist_find_depth,5,176
33,hist_find_depth,6,15
33,hist_find_depth,7,1
34,hist_cross_node_write,0,4000000
35,hist_all_cross_node_access,0,4000000
36,hist_cross_node_find_depth,0,0
37,hist_cross_node_read,0,4000000
38,hist_local_find_depth,0,0
39,hist_find_depth,0,6647
39,hist_find_depth,1,7992506
39,hist_find_depth,2,1
40,hist_cross_node_write,0,4000000
41,hist_all_cross_node_access,0,4000000
42,hist_cross_node_find_depth,0,0
43,hist_cross_node_read,0,4000000
44,hist_local_find_depth,0,0
45,hist_find_depth,0,6719
45,hist_find_depth,1,7992435
46,hist_cross_node_write,0,4000000
47,hist_all_cross_node_access,0,4000000
48,hist_cross_node_find_depth,0,0
49,hist_cross_node_read,0,4000000
50,hist_local_find_depth,0,0
51,hist_find_depth,0,6727
51,hist_find_depth,1,7992426
51,hist_find_depth,2,1
52,hist_cross_node_write,0,4000000
53,hist_all_cross_node_access,0,4000000
54,hist_cross_node_find_depth,0,0
55,hist_cross_node_read,0,4000000
56,hist_local_find_depth,0,0
57,hist_find_depth,0,6528
57,hist_find_depth,1,7992692
58,hist_cross_node_write,0,4000000
59,hist_all_cross_node_access,0,4000000
60,hist_cross_node_find_depth,0,0
61,hist_cross_node_read,0,4000000
62,hist_local_find_depth,0,0
63,hist_find_depth,0,6539
63,hist_find_depth,1,7992681
64,hist_cross_node_write,0,4000000
65,hist_all_cross_node_access,0,4000000
66,hist_cross_node_find_depth,0,0
67,hist_cross_node_read,0,4000000
68,hist_local_find_depth,0,0
69,hist_find_depth,0,6592
69,hist_find_depth,1,7992628
70,hist_cross_node_write,0,4000000
71,hist_all_cross_node_access,0,4000000
72,hist_cross_node_find_depth,0,0
73,hist_cross_node_read,0,4000000
74,hist_local_find_depth,0,0
75,hist_find_depth,0,5748
75,hist_find_depth,1,7993454
76,hist_cross_node_write,0,4000000
77,hist_all_cross_node_access,0,4000000
78,hist_cross_node_find_depth,0,0
79,hist_cross_node_read,0,4000000
80,hist_local_find_depth,0,0
81,hist_find_depth,0,5748
81,hist_find_depth,1,7993454
82,hist_cross_node_write,0,4000000
83,hist_all_cross_node_access,0,4000000
84,hist_cross_node_find_depth,0,0
85,hist_cross_node_read,0,4000000
86,hist_local_find_depth,0,0
87,hist_find_depth,0,5748
87,hist_find_depth,1,7993454
88,hist_cross_node_write,0,4000000
89,hist_all_cross_node_access,0,4000000
90,hist_cross_node_find_depth,0,0
91,hist_cross_node_read,0,4000000
92,hist_local_find_depth,0,0
93,hist_find_depth,0,5422
93,hist_find_depth,1,7993752
94,hist_cross_node_write,0,4000000
95,hist_all_cross_node_access,0,4000000
96,hist_cross_node_find_depth,0,0
97,hist_cross_node_read,0,4000000
98,hist_local_find_depth,0,0
99,hist_find_depth,0,5423
99,hist_find_depth,1,7993751
100,hist_cross_node_write,0,4000000
101,hist_all_cross_node_access,0,4000000
102,hist_cross_node_find_depth,0,0
103,hist_cross_node_read,0,4000000
104,hist_local_find_depth,0,0
105,hist_find_depth,0,5423
105,hist_find_depth,1,7993751
106,hist_cross_node_write,0,4000000
107,hist_all_cross_node_access,0,4000000
108,hist_cross_node_find_depth,0,0
109,hist_cross_node_read,0,3000355
109,hist_cross_node_read,1,999537
109,hist_cross_node_read,2,108
110,hist_local_find_depth,0,0
111,hist_find_depth,0,0
111,hist_find_depth,1,1674198
111,hist_find_depth,2,1448693
111,hist_find_depth,3,1440858
111,hist_find_depth,4,1054863
111,hist_find_depth,5,744995
111,hist_find_depth,6,530937
111,hist_find_depth,7,376217
111,hist_find_depth,8,265427
111,hist_find_depth,9,179230
111,hist_find_depth,10,112803
111,hist_find_depth,11,72085
111,hist_find_depth,12,44636
111,hist_find_depth,13,26691
111,hist_find_depth,14,15082
111,hist_find_depth,15,7750
111,hist_find_depth,16,3446
111,hist_find_depth,17,1290
111,hist_find_depth,18,489
111,hist_find_depth,19,215
111,hist_find_depth,20,60
111,hist_find_depth,21,5
111,hist_find_depth,22,8
111,hist_find_depth,23,3
111,hist_find_depth,24,6
111,hist_find_depth,25,1
111,hist_find_depth,26,0
111,hist_find_depth,27,2
111,hist_find_depth,28,2
111,hist_find_depth,29,1
111,hist_find_depth,30,0
111,hist_find_depth,31,0
111,hist_find_depth,32,0
111,hist_find_depth,33,0
111,hist_find_depth,34,0
111,hist_find_depth,35,0
111,hist_find_depth,36,1
111,hist_find_depth,37,0
111,hist_find_depth,38,1
111,hist_find_depth,39,0
111,hist_find_depth,40,2
111,hist_find_depth,41,0
111,hist_find_depth,42,0
111,hist_find_depth,43,0
111,hist_find_depth,44,0
111,hist_find_depth,45,1
111,hist_find_depth,46,0
111,hist_find_depth,47,0
111,hist_find_depth,48,0
111,hist_find_depth,49,0
111,hist_find_depth,50,0
111,hist_find_depth,51,1
111,hist_find_depth,52,0
111,hist_find_depth,53,0
111,hist_find_depth,54,0
111,hist_find_depth,55,0
111,hist_find_depth,56,0
111,hist_find_depth,57,0
111,hist_find_depth,58,0
111,hist_find_depth,59,0
111,hist_find_depth,60,0
111,hist_find_depth,61,0
111,hist_find_depth,62,0
111,hist_find_depth,63,1
112,hist_cross_node_write,0,3000355
112,hist_cross_node_write,1,0
112,hist_cross_node_write,2,999645
113,hist_all_cross_node_access,0,3000210
113,hist_all_cross_node_access,1,54
113,hist_all_cross_node_access,2,29
113,hist_all_cross_node_access,3,23
113,hist_all_cross_node_access,4,13
113,hist_all_cross_node_access,5,999214
113,hist_all_cross_node_access,6,209
113,hist_all_cross_node_access,7,122
113,hist_all_cross_node_access,8,58
113,hist_all_cross_node_access,9,28
113,hist_all_cross_node_access,10,10
113,hist_all_cross_node_access,11,5
113,hist_all_cross_node_access,12,5
113,hist_all_cross_node_access,13,4
113,hist_all_cross_node_access,14,0
113,hist_all_cross_node_access,15,3
113,hist_all_cross_node_access,16,0
113,hist_all_cross_node_access,17,5
