index,metric,point,value
0,hist_cross_node_find_depth,0,0
1,hist_cross_node_read,0,4444345
2,hist_local_find_depth,0,0
3,hist_find_depth,0,2263140
3,hist_find_depth,1,1247871
3,hist_find_depth,2,92411
3,hist_find_depth,3,11653
3,hist_find_depth,4,1180
3,hist_find_depth,5,104
3,hist_find_depth,6,12
3,hist_find_depth,7,1
4,hist_cross_node_write,0,4444345
5,hist_cross_node_find_depth,0,0
6,hist_cross_node_read,0,4444345
7,hist_local_find_depth,0,0
8,hist_find_depth,0,2260930
8,hist_find_depth,1,1252487
8,hist_find_depth,2,96070
8,hist_find_depth,3,13201
8,hist_find_depth,4,1647
8,hist_find_depth,5,175
8,hist_find_depth,6,12
9,hist_cross_node_write,0,4444345
10,hist_cross_node_find_depth,0,0
11,hist_cross_node_read,0,4444345
12,hist_local_find_depth,0,0
13,hist_find_depth,0,2262619
13,hist_find_depth,1,1249282
13,hist_find_depth,2,93126
13,hist_find_depth,3,11969
13,hist_find_depth,4,1259
13,hist_find_depth,5,92
13,hist_find_depth,6,11
14,hist_cross_node_write,0,4444345
15,hist_cross_node_find_depth,0,0
16,hist_cross_node_read,0,4444345
17,hist_local_find_depth,0,0
18,hist_find_depth,0,2290189
18,hist_find_depth,1,1460722
18,hist_find_depth,2,186720
18,hist_find_depth,3,27907
18,hist_find_depth,4,3213
18,hist_find_depth,5,278
18,hist_find_depth,6,33
19,hist_cross_node_write,0,4444345
20,hist_cross_node_find_depth,0,0
21,hist_cross_node_read,0,4444345
22,hist_local_find_depth,0,0
23,hist_find_depth,0,2250768
23,hist_find_depth,1,1358430
23,hist_find_depth,2,158775
23,hist_find_depth,3,26429
23,hist_find_depth,4,3136
23,hist_find_depth,5,297
23,hist_find_depth,6,13
23,hist_find_depth,7,2
24,hist_cross_node_write,0,4444345
25,hist_cross_node_find_depth,0,0
26,hist_cross_node_read,0,4444345
27,hist_local_find_depth,0,0
28,hist_find_depth,0,2263945
28,hist_find_depth,1,1413815
28,hist_find_depth,2,177777
28,hist_find_depth,3,28175
28,hist_find_depth,4,3310
28,hist_find_depth,5,292
28,hist_find_depth,6,26
28,hist_find_depth,7,4
29,hist_cross_node_write,0,4444345
30,hist_cross_node_find_depth,0,0
31,hist_cross_node_read,0,3444720
31,hist_cross_node_read,1,999522
31,hist_cross_node_read,2,103
32,hist_local_find_depth,0,0
33,hist_find_depth,0,0
33,hist_find_depth,1,7794246
33,hist_find_depth,2,85
33,hist_find_depth,3,1037345
33,hist_find_depth,4,71
33,hist_find_depth,5,54613
33,hist_find_depth,6,49
33,hist_find_depth,7,2086
33,hist_find_depth,8,29
33,hist_find_depth,9,107
33,hist_find_depth,10,8
33,hist_find_depth,11,7
33,hist_find_depth,12,2
33,hist_find_depth,13,10
33,hist_find_depth,14,3
33,hist_find_depth,15,3
33,hist_find_depth,16,1
33,hist_find_depth,17,2
33,hist_find_depth,18,0
33,hist_find_depth,19,4
33,hist_find_depth,20,3
33,hist_find_depth,21,3
33,hist_find_depth,22,1
33,hist_find_depth,23,0
33,hist_find_depth,24,2
33,hist_find_depth,25,2
33,hist_find_depth,26,0
33,hist_find_depth,27,0
33,hist_find_depth,28,0
33,hist_find_depth,29,2
33,hist_find_depth,30,0
33,hist_find_depth,31,0
33,hist_find_depth,32,0
33,hist_find_depth,33,0
33,hist_find_depth,34,0
33,hist_find_depth,35,0
33,hist_find_depth,36,0
33,hist_find_depth,37,0
33,hist_find_depth,38,0
33,hist_find_depth,39,0
33,hist_find_depth,40,0
33,hist_find_depth,41,0
33,hist_find_depth,42,1
33,hist_find_depth,43,0
33,hist_find_depth,44,1
33,hist_find_depth,45,0
33,hist_find_depth,46,0
33,hist_find_depth,47,0
33,hist_find_depth,48,0
33,hist_find_depth,49,1
33,hist_find_depth,50,0
33,hist_find_depth,51,1
33,hist_find_depth,52,0
33,hist_find_depth,53,0
33,hist_find_depth,54,0
33,hist_find_depth,55,0
33,hist_find_depth,56,0
33,hist_find_depth,57,0
33,hist_find_depth,58,0
33,hist_find_depth,59,0
33,hist_find_depth,60,0
33,hist_find_depth,61,0
33,hist_find_depth,62,0
33,hist_find_depth,63,0
33,hist_find_depth,64,0
33,hist_find_depth,65,0
33,hist_find_depth,66,0
33,hist_find_depth,67,0
33,hist_find_depth,68,0
33,hist_find_depth,69,0
33,hist_find_depth,70,0
33,hist_find_depth,71,0
33,hist_find_depth,72,0
33,hist_find_depth,73,0
33,hist_find_depth,74,0
33,hist_find_depth,75,0
33,hist_find_depth,76,0
33,hist_find_depth,77,0
33,hist_find_depth,78,0
33,hist_find_depth,79,0
33,hist_find_depth,80,0
33,hist_find_depth,81,0
33,hist_find_depth,82,0
33,hist_find_depth,83,0
33,hist_find_depth,84,0
33,hist_find_depth,85,0
33,hist_find_depth,86,0
33,hist_find_depth,87,0
33,hist_find_depth,88,0
33,hist_find_depth,89,0
33,hist_find_depth,90,0
33,hist_find_depth,91,0
33,hist_find_depth,92,0
33,hist_find_depth,93,0
33,hist_find_depth,94,0
33,hist_find_depth,95,0
33,hist_find_depth,96,0
33,hist_find_depth,97,0
33,hist_find_depth,98,0
33,hist_find_depth,99,0
33,hist_find_depth,100,0
33,hist_find_depth,101,0
33,hist_find_depth,102,0
33,hist_find_depth,103,0
33,hist_find_depth,104,0
33,hist_find_depth,105,0
33,hist_find_depth,106,0
33,hist_find_depth,107,0
33,hist_find_depth,108,0
33,hist_find_depth,109,0
33,hist_find_depth,110,0
33,hist_find_depth,111,0
33,hist_find_depth,112,0
33,hist_find_depth,113,0
33,hist_find_depth,114,0
33,hist_find_depth,115,0
33,hist_find_depth,116,0
33,hist_find_depth,117,0
33,hist_find_depth,118,0
33,hist_find_depth,119,0
33,hist_find_depth,120,0
33,hist_find_depth,121,0
33,hist_find_depth,122,0
33,hist_find_depth,123,0
33,hist_find_depth,124,0
33,hist_find_depth,125,0
33,hist_find_depth,126,0
33,hist_find_depth,127,0
33,hist_find_depth,128,0
33,hist_find_depth,129,0
33,hist_find_depth,130,0
33,hist_find_depth,131,0
33,hist_find_depth,132,0
33,hist_find_depth,133,0
33,hist_find_depth,134,0
33,hist_find_depth,135,0
33,hist_find_depth,136,0
33,hist_find_depth,137,0
33,hist_find_depth,138,0
33,hist_find_depth,139,0
33,hist_find_depth,140,0
33,hist_find_depth,141,0
33,hist_find_depth,142,0
33,hist_find_depth,143,0
33,hist_find_depth,144,0
33,hist_find_depth,145,0
33,hist_find_depth,146,0
33,hist_find_depth,147,0
33,hist_find_depth,148,0
33,hist_find_depth,149,2
34,hist_cross_node_write,0,3444720
34,hist_cross_node_write,1,0
34,hist_cross_node_write,2,999625
35,hist_cross_node_find_depth,0,0
36,hist_cross_node_read,0,3444720
36,hist_cross_node_read,1,999535
36,hist_cross_node_read,2,90
37,hist_local_find_depth,0,0
38,hist_find_depth,0,0
38,hist_find_depth,1,7820974
38,hist_find_depth,2,81
38,hist_find_depth,3,1011800
38,hist_find_depth,4,91
38,hist_find_depth,5,53323
38,hist_find_depth,6,55
38,hist_find_depth,7,2181
38,hist_find_depth,8,25
38,hist_find_depth,9,92
38,hist_find_depth,10,9
38,hist_find_depth,11,12
38,hist_find_depth,12,6
38,hist_find_depth,13,3
38,hist_find_depth,14,1
38,hist_find_depth,15,8
38,hist_find_depth,16,4
38,hist_find_depth,17,3
38,hist_find_depth,18,0
38,hist_find_depth,19,3
38,hist_find_depth,20,2
38,hist_find_depth,21,5
38,hist_find_depth,22,0
38,hist_find_depth,23,0
38,hist_find_depth,24,0
38,hist_find_depth,25,0
38,hist_find_depth,26,2
38,hist_find_depth,27,0
38,hist_find_depth,28,3
38,hist_find_depth,29,0
38,hist_find_depth,30,1
38,hist_find_depth,31,1
38,hist_find_depth,32,0
38,hist_find_depth,33,1
38,hist_find_depth,34,0
38,hist_find_depth,35,1
38,hist_find_depth,36,0
38,hist_find_depth,37,1
38,hist_find_depth,38,0
38,hist_find_depth,39,0
38,hist_find_depth,40,0
38,hist_find_depth,41,0
38,hist_find_depth,42,0
38,hist_find_depth,43,0
38,hist_find_depth,44,2
39,hist_cross_node_write,0,3444720
39,hist_cross_node_write,1,0
39,hist_cross_node_write,2,999625
40,hist_cross_node_find_depth,0,0
41,hist_cross_node_read,0,3444720
41,hist_cross_node_read,1,999538
41,hist_cross_node_read,2,87
42,hist_local_find_depth,0,0
43,hist_find_depth,0,0
43,hist_find_depth,1,7796858
43,hist_find_depth,2,103
43,hist_find_depth,3,1035918
43,hist_find_depth,4,100
43,hist_find_depth,5,53315
43,hist_find_depth,6,52
43,hist_find_depth,7,2167
43,hist_find_depth,8,27
43,hist_find_depth,9,91
43,hist_find_depth,10,10
43,hist_find_depth,11,14
43,hist_find_depth,12,2
43,hist_find_depth,13,3
43,hist_find_depth,14,1
43,hist_find_depth,15,4
43,hist_find_depth,16,6
43,hist_find_depth,17,3
43,hist_find_depth,18,0
43,hist_find_depth,19,0
43,hist_find_depth,20,1
43,hist_find_depth,21,4
43,hist_find_depth,22,2
43,hist_find_depth,23,2
43,hist_find_depth,24,0
43,hist_find_depth,25,1
43,hist_find_depth,26,1
43,hist_find_depth,27,1
43,hist_find_depth,28,1
43,hist_find_depth,29,1
43,hist_find_depth,30,0
43,hist_find_depth,31,0
43,hist_find_depth,32,1
43,hist_find_depth,33,0
43,hist_find_depth,34,1
44,hist_cross_node_write,0,3444720
44,hist_cross_node_write,1,0
44,hist_cross_node_write,2,999625
45,hist_cross_node_find_depth,0,0
46,hist_cross_node_read,0,3444698
46,hist_cross_node_read,1,999542
46,hist_cross_node_read,2,105
47,hist_local_find_depth,0,0
48,hist_find_depth,0,0
48,hist_find_depth,1,7335359
48,hist_find_depth,2,68
48,hist_find_depth,3,1492101
48,hist_find_depth,4,100
48,hist_find_depth,5,58508
48,hist_find_depth,6,80
48,hist_find_depth,7,2305
48,hist_find_depth,8,28
48,hist_find_depth,9,94
48,hist_find_depth,10,11
48,hist_find_depth,11,12
48,hist_find_depth,12,3
48,hist_find_depth,13,3
48,hist_find_depth,14,3
48,hist_find_depth,15,1
48,hist_find_depth,16,2
48,hist_find_depth,17,2
48,hist_find_depth,18,0
48,hist_find_depth,19,1
48,hist_find_depth,20,1
48,hist_find_depth,21,0
48,hist_find_depth,22,2
48,hist_find_depth,23,1
48,hist_find_depth,24,2
48,hist_find_depth,25,0
48,hist_find_depth,26,0
48,hist_find_depth,27,1
48,hist_find_depth,28,0
48,hist_find_depth,29,0
48,hist_find_depth,30,0
48,hist_find_depth,31,0
48,hist_find_depth,32,0
48,hist_find_depth,33,0
48,hist_find_depth,34,0
48,hist_find_depth,35,0
48,hist_find_depth,36,0
48,hist_find_depth,37,0
48,hist_find_depth,38,0
48,hist_find_depth,39,2
49,hist_cross_node_write,0,3444698
49,hist_cross_node_write,1,0
49,hist_cross_node_write,2,999647
50,hist_cross_node_find_depth,0,0
51,hist_cross_node_read,0,3444698
51,hist_cross_node_read,1,999521
51,hist_cross_node_read,2,126
52,hist_local_find_depth,0,0
53,hist_find_depth,0,0
53,hist_find_depth,1,7370532
53,hist_find_depth,2,93
53,hist_find_depth,3,1454387
53,hist_find_depth,4,82
53,hist_find_depth,5,60969
53,hist_find_depth,6,72
53,hist_find_depth,7,2359
53,hist_find_depth,8,27
53,hist_find_depth,9,114
53,hist_find_depth,10,8
53,hist_find_depth,11,9
53,hist_find_depth,12,3
53,hist_find_depth,13,12
53,hist_find_depth,14,5
53,hist_find_depth,15,3
53,hist_find_depth,16,1
53,hist_find_depth,17,2
53,hist_find_depth,18,0
53,hist_find_depth,19,3
53,hist_find_depth,20,2
53,hist_find_depth,21,2
53,hist_find_depth,22,1
53,hist_find_depth,23,0
53,hist_find_depth,24,0
53,hist_find_depth,25,0
53,hist_find_depth,26,0
53,hist_find_depth,27,1
53,hist_find_depth,28,0
53,hist_find_depth,29,1
53,hist_find_depth,30,0
53,hist_find_depth,31,0
53,hist_find_depth,32,0
53,hist_find_depth,33,0
53,hist_find_depth,34,0
53,hist_find_depth,35,0
53,hist_find_depth,36,0
53,hist_find_depth,37,1
53,hist_find_depth,38,0
53,hist_find_depth,39,1
54,hist_cross_node_write,0,3444698
54,hist_cross_node_write,1,0
54,hist_cross_node_write,2,999647
55,hist_cross_node_find_depth,0,0
56,hist_cross_node_read,0,3444698
56,hist_cross_node_read,1,999555
56,hist_cross_node_read,2,92
57,hist_local_find_depth,0,0
58,hist_find_depth,0,0
58,hist_find_depth,1,7329893
58,hist_find_depth,2,91
58,hist_find_depth,3,1497608
58,hist_find_depth,4,82
58,hist_find_depth,5,58520
58,hist_find_depth,6,40
58,hist_find_depth,7,2307
58,hist_find_depth,8,17
58,hist_find_depth,9,93
58,hist_find_depth,10,5
58,hist_find_depth,11,8
58,hist_find_depth,12,3
58,hist_find_depth,13,0
58,hist_find_depth,14,6
58,hist_find_depth,15,1
58,hist_find_depth,16,3
58,hist_find_depth,17,1
58,hist_find_depth,18,2
58,hist_find_depth,19,1
58,hist_find_depth,20,1
58,hist_find_depth,21,3
58,hist_find_depth,22,0
58,hist_find_depth,23,1
58,hist_find_depth,24,1
58,hist_find_depth,25,0
58,hist_find_depth,26,1
58,hist_find_depth,27,0
58,hist_find_depth,28,0
58,hist_find_depth,29,0
58,hist_find_depth,30,0
58,hist_find_depth,31,0
58,hist_find_depth,32,2
59,hist_cross_node_write,0,3444698
59,hist_cross_node_write,1,0
59,hist_cross_node_write,2,999647
60,hist_cross_node_find_depth,0,6691781
60,hist_cross_node_find_depth,1,2158321
60,hist_cross_node_find_depth,2,25955
60,hist_cross_node_find_depth,3,11968
60,hist_cross_node_find_depth,4,265
60,hist_cross_node_find_depth,5,386
60,hist_cross_node_find_depth,6,7
60,hist_cross_node_find_depth,7,7
61,hist_cross_node_read,0,4119506
61,hist_cross_node_read,1,33672
61,hist_cross_node_read,2,224255
61,hist_cross_node_read,3,13856
61,hist_cross_node_read,4,51014
61,hist_cross_node_read,5,763
61,hist_cross_node_read,6,1115
61,hist_cross_node_read,7,141
61,hist_cross_node_read,8,22
61,hist_cross_node_read,9,1
62,hist_local_find_depth,0,0
62,hist_local_find_depth,1,4787193
62,hist_local_find_depth,2,3205311
62,hist_local_find_depth,3,818791
62,hist_local_find_depth,4,51204
62,hist_local_find_depth,5,25038
62,hist_local_find_depth,6,788
62,hist_local_find_depth,7,355
62,hist_local_find_depth,8,10
63,hist_find_depth,0,0
63,hist_find_depth,1,3082054
63,hist_find_depth,2,4708406
