DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,1000000,1000000,0.02,0.2,true,991665.487,85524.951
Usual:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,1000000,0.02,0.2,true,1648645.292,237095.369
ParallelUnions/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,1000000,0.02,0.2,true,2040618.147,193715.978
Adaptive2/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,1000000,0.02,0.2,true,2098866.750,240853.677
Adaptive3/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Usual,1000000,2000000,0.02,0.2,true,1341018.303,107123.307
Usual:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,2000000,0.02,0.2,true,1788101.051,115780.570
ParallelUnions/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,2000000,0.02,0.2,true,2418082.677,195909.854
Adaptive2/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,2000000,0.02,0.2,true,2447646.225,195275.908
Adaptive3/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Usual,1000000,4000000,0.02,0.2,true,2092688.272,79056.716
Usual:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,4000000,0.02,0.2,true,2390042.298,178929.493
ParallelUnions/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,4000000,0.02,0.2,true,2905718.327,176907.818
Adaptive2/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,4000000,0.02,0.2,true,2899004.121,126027.189
Adaptive3/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Usual,1000000,8000000,0.02,0.2,true,2711948.849,163776.853
Usual:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,8000000,0.02,0.2,true,3287093.375,114943.666
ParallelUnions/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,8000000,0.02,0.2,true,3593252.462,152343.651
Adaptive2/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,8000000,0.02,0.2,true,3559787.046,134325.060
Adaptive3/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Usual,1000000,16000000,0.02,0.2,true,3288937.828,225148.426
Usual:hist_begin,1000000,16000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,16000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,16000000,0.02,0.2,true,3832966.568,102230.258
ParallelUnions/squashing:hist_begin,1000000,16000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,16000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,16000000,0.02,0.2,true,3943877.697,139827.137
Adaptive2/squashing:hist_begin,1000000,16000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,16000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,16000000,0.02,0.2,true,3878385.016,83512.060
Adaptive3/squashing:hist_begin,1000000,16000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,16000000,0.02,0.2,true,0,0
Usual,1000000,1000000,0.05,0.2,true,1087172.396,72528.554
Usual:hist_begin,1000000,1000000,0.05,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.05,0.2,true,0,0
ParallelUnions/squashing,1000000,1000000,0.05,0.2,true,1609439.643,124815.583
ParallelUnions/squashing:hist_begin,1000000,1000000,0.05,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.05,0.2,true,0,0
Adaptive2/squashing,1000000,1000000,0.05,0.2,true,2066480.755,149268.477
Adaptive2/squashing:hist_begin,1000000,1000000,0.05,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,1000000,0.05,0.2,true,0,0
Adaptive3/squashing,1000000,1000000,0.05,0.2,true,2044053.970,129705.712
Adaptive3/squashing:hist_begin,1000000,1000000,0.05,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,1000000,0.05,0.2,true,0,0
Usual,1000000,2000000,0.05,0.2,true,1269363.228,116552.150
Usual:hist_begin,1000000,2000000,0.05,0.2,true,0,0
Usual:hist_end,1000000,2000000,0.05,0.2,true,0,0
ParallelUnions/squashing,1000000,2000000,0.05,0.2,true,1604271.148,284771.202
ParallelUnions/squashing:hist_begin,1000000,2000000,0.05,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.05,0.2,true,0,0
Adaptive2/squashing,1000000,2000000,0.05,0.2,true,2152812.023,213171.636
Adaptive2/squashing:hist_begin,1000000,2000000,0.05,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,2000000,0.05,0.2,true,0,0
Adaptive3/squashing,1000000,2000000,0.05,0.2,true,2130875.289,196876.451
Adaptive3/squashing:hist_begin,1000000,2000000,0.05,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,2000000,0.05,0.2,true,0,0
Usual,1000000,4000000,0.05,0.2,true,1771481.322,271834.993
Usual:hist_begin,1000000,4000000,0.05,0.2,true,0,0
Usual:hist_end,1000000,4000000,0.05,0.2,true,0,0
ParallelUnions/squashing,1000000,4000000,0.05,0.2,true,2385948.958,269775.632
ParallelUnions/squashing:hist_begin,1000000,4000000,0.05,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.05,0.2,true,0,0
Adaptive2/squashing,1000000,4000000,0.05,0.2,true,2842650.358,228803.535
Adaptive2/squashing:hist_begin,1000000,4000000,0.05,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,4000000,0.05,0.2,true,0,0
Adaptive3/squashing,1000000,4000000,0.05,0.2,true,2751190.113,117131.807
Adaptive3/squashing:hist_begin,1000000,4000000,0.05,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,4000000,0.05,0.2,true,0,0
Usual,1000000,8000000,0.05,0.2,true,2213572.135,234710.203
Usual:hist_begin,1000000,8000000,0.05,0.2,true,0,0
Usual:hist_end,1000000,8000000,0.05,0.2,true,0,0
ParallelUnions/squashing,1000000,8000000,0.05,0.2,true,3298521.754,247906.890
ParallelUnions/squashing:hist_begin,1000000,8000000,0.05,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,8000000,0.05,0.2,true,0,0
Adaptive2/squashing,1000000,8000000,0.05,0.2,true,3385696.568,91915.315
Adaptive2/squashing:hist_begin,1000000,8000000,0.05,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,8000000,0.05,0.2,true,0,0
Adaptive3/squashing,1000000,8000000,0.05,0.2,true,3375789.283,122941.579
Adaptive3/squashing:hist_begin,1000000,8000000,0.05,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,8000000,0.05,0.2,true,0,0
Usual,1000000,16000000,0.05,0.2,true,3353364.203,326456.350
Usual:hist_begin,1000000,16000000,0.05,0.2,true,0,0
Usual:hist_end,1000000,16000000,0.05,0.2,true,0,0
ParallelUnions/squashing,1000000,16000000,0.05,0.2,true,3663984.641,229462.232
ParallelUnions/squashing:hist_begin,1000000,16000000,0.05,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,16000000,0.05,0.2,true,0,0
Adaptive2/squashing,1000000,16000000,0.05,0.2,true,3732546.723,184607.981
Adaptive2/squashing:hist_begin,1000000,16000000,0.05,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,16000000,0.05,0.2,true,0,0
Adaptive3/squashing,1000000,16000000,0.05,0.2,true,3721957.146,81423.721
Adaptive3/squashing:hist_begin,1000000,16000000,0.05,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,16000000,0.05,0.2,true,0,0
Usual,1000000,1000000,0.1,0.2,true,967414.358,81500.710
Usual:hist_begin,1000000,1000000,0.1,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.1,0.2,true,0,0
ParallelUnions/squashing,1000000,1000000,0.1,0.2,true,1715036.167,269779.957
ParallelUnions/squashing:hist_begin,1000000,1000000,0.1,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.1,0.2,true,0,0
Adaptive2/squashing,1000000,1000000,0.1,0.2,true,1613469.875,113695.323
Adaptive2/squashing:hist_begin,1000000,1000000,0.1,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,1000000,0.1,0.2,true,0,0
Adaptive3/squashing,1000000,1000000,0.1,0.2,true,1606193.868,129939.193
Adaptive3/squashing:hist_begin,1000000,1000000,0.1,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,1000000,0.1,0.2,true,0,0
Usual,1000000,2000000,0.1,0.2,true,1140787.887,215290.772
Usual:hist_begin,1000000,2000000,0.1,0.2,true,0,0
Usual:hist_end,1000000,2000000,0.1,0.2,true,0,0
ParallelUnions/squashing,1000000,2000000,0.1,0.2,true,1796448.177,273917.830
ParallelUnions/squashing:hist_begin,1000000,2000000,0.1,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.1,0.2,true,0,0
Adaptive2/squashing,1000000,2000000,0.1,0.2,true,1988446.082,154832.644
Adaptive2/squashing:hist_begin,1000000,2000000,0.1,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,2000000,0.1,0.2,true,0,0
Adaptive3/squashing,1000000,2000000,0.1,0.2,true,2018640.094,107541.099
Adaptive3/squashing:hist_begin,1000000,2000000,0.1,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,2000000,0.1,0.2,true,0,0
Usual,1000000,4000000,0.1,0.2,true,1914638.565,156578.620
Usual:hist_begin,1000000,4000000,0.1,0.2,true,0,0
Usual:hist_end,1000000,4000000,0.1,0.2,true,0,0
ParallelUnions/squashing,1000000,4000000,0.1,0.2,true,2106977.165,173424.928
ParallelUnions/squashing:hist_begin,1000000,4000000,0.1,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.1,0.2,true,0,0
Adaptive2/squashing,1000000,4000000,0.1,0.2,true,2361358.426,120372.127
Adaptive2/squashing:hist_begin,1000000,4000000,0.1,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,4000000,0.1,0.2,true,0,0
Adaptive3/squashing,1000000,4000000,0.1,0.2,true,2375023.436,108954.193
Adaptive3/squashing:hist_begin,1000000,4000000,0.1,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,4000000,0.1,0.2,true,0,0
Usual,1000000,8000000,0.1,0.2,true,2418619.947,272661.659
Usual:hist_begin,1000000,8000000,0.1,0.2,true,0,0
Usual:hist_end,1000000,8000000,0.1,0.2,true,0,0
