DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,1000000,1000000,0.02,0.2,true,834974.445,63312.472
Usual:cross_node_read,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_true,1000000,1000000,0.02,0.2,true,40387.500,30.573
Usual:same_set_requests_false,1000000,1000000,0.02,0.2,true,209659.000,95.184
Usual:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Usual:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.02,0.2,true,36,0
ParallelUnions/halfing,1000000,1000000,0.02,0.2,true,641087.039,124641.490
ParallelUnions/halfing:cross_node_read,1000000,1000000,0.02,0.2,true,838071.333,59.183
ParallelUnions/halfing:this_node_read,1000000,1000000,0.02,0.2,true,7906756.000,31136.648
ParallelUnions/halfing:cross_node_write,1000000,1000000,0.02,0.2,true,1675977.000,104.067
ParallelUnions/halfing:this_node_read_success,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,1000000,0.02,0.2,true,2263713.000,11814.022
ParallelUnions/halfing:global_data_read_write,1000000,1000000,0.02,0.2,true,1677168.667,110.959
ParallelUnions/halfing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40297.833,175.656
ParallelUnions/halfing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209748.667,71.340
ParallelUnions/halfing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
ParallelUnions/halfing:hist_begin,1000000,1000000,0.02,0.2,true,36,0
ParallelUnions/halfing:hist_end,1000000,1000000,0.02,0.2,true,72,0
Adaptive2/halfing,1000000,1000000,0.02,0.2,true,765802.693,203807.303
Adaptive2/halfing:cross_node_read,1000000,1000000,0.02,0.2,true,458664.167,40768.138
Adaptive2/halfing:this_node_read,1000000,1000000,0.02,0.2,true,10064717.333,95803.426
