DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual,1000000,1000000,0.02,0.2,true,989981.605,132020.513
Usual:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/halfing,1000000,1000000,0.02,0.2,true,1542432.133,142767.567
ParallelUnions/halfing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/halfing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/halfing,1000000,1000000,0.02,0.2,true,2311099.346,150183.758
Adaptive2/halfing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/halfing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/halfing,1000000,1000000,0.02,0.2,true,2280524.866,174557.057
Adaptive3/halfing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/halfing:hist_end,1000000,1000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing,1000000,1000000,0.02,0.2,true,2350361.227,261963.250
AdaptiveSmart/halfing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing:hist_end,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,1000000,0.02,0.2,true,1601157.711,135646.765
ParallelUnions/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,1000000,0.02,0.2,true,2275242.938,140984.056
Adaptive2/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,1000000,0.02,0.2,true,2285699.553,141423.537
Adaptive3/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing,1000000,1000000,0.02,0.2,true,2324586.742,234242.300
AdaptiveSmart/squashing:hist_begin,1000000,1000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing:hist_end,1000000,1000000,0.02,0.2,true,0,0
Usual,1000000,2000000,0.02,0.2,true,1274504.746,218562.729
Usual:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/halfing,1000000,2000000,0.02,0.2,true,1807437.283,204550.692
ParallelUnions/halfing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/halfing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/halfing,1000000,2000000,0.02,0.2,true,2603531.565,111447.413
Adaptive2/halfing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/halfing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/halfing,1000000,2000000,0.02,0.2,true,2629898.543,107162.305
Adaptive3/halfing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/halfing:hist_end,1000000,2000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing,1000000,2000000,0.02,0.2,true,2338957.467,303028.281
AdaptiveSmart/halfing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing:hist_end,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,2000000,0.02,0.2,true,1891030.745,209774.079
ParallelUnions/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,2000000,0.02,0.2,true,2507106.286,149590.695
Adaptive2/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,2000000,0.02,0.2,true,2512843.780,254900.608
Adaptive3/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing,1000000,2000000,0.02,0.2,true,2377607.147,335057.360
AdaptiveSmart/squashing:hist_begin,1000000,2000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing:hist_end,1000000,2000000,0.02,0.2,true,0,0
Usual,1000000,4000000,0.02,0.2,true,1908660.225,152410.707
Usual:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/halfing,1000000,4000000,0.02,0.2,true,2560476.270,176072.238
ParallelUnions/halfing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/halfing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/halfing,1000000,4000000,0.02,0.2,true,3202089.336,128848.693
Adaptive2/halfing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/halfing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/halfing,1000000,4000000,0.02,0.2,true,3158185.095,145710.111
Adaptive3/halfing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/halfing:hist_end,1000000,4000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing,1000000,4000000,0.02,0.2,true,3001798.402,289989.914
AdaptiveSmart/halfing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing:hist_end,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,4000000,0.02,0.2,true,2612853.866,167563.843
ParallelUnions/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,4000000,0.02,0.2,true,3193509.954,184072.935
Adaptive2/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,4000000,0.02,0.2,true,3191696.177,140239.495
Adaptive3/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing,1000000,4000000,0.02,0.2,true,2971115.431,285748.789
AdaptiveSmart/squashing:hist_begin,1000000,4000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing:hist_end,1000000,4000000,0.02,0.2,true,0,0
Usual,1000000,8000000,0.02,0.2,true,2607184.326,158126.692
Usual:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/halfing,1000000,8000000,0.02,0.2,true,3336664.379,238496.633
ParallelUnions/halfing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/halfing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/halfing,1000000,8000000,0.02,0.2,true,3678967.223,83340.433
Adaptive2/halfing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/halfing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/halfing,1000000,8000000,0.02,0.2,true,3612587.164,50173.315
Adaptive3/halfing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/halfing:hist_end,1000000,8000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing,1000000,8000000,0.02,0.2,true,3555398.036,263815.366
AdaptiveSmart/halfing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
AdaptiveSmart/halfing:hist_end,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/squashing,1000000,8000000,0.02,0.2,true,3276497.725,207237.801
ParallelUnions/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/squashing,1000000,8000000,0.02,0.2,true,3705885.172,94416.665
Adaptive2/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/squashing,1000000,8000000,0.02,0.2,true,3669691.217,93392.402
Adaptive3/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing,1000000,8000000,0.02,0.2,true,3609910.310,257311.351
AdaptiveSmart/squashing:hist_begin,1000000,8000000,0.02,0.2,true,0,0
AdaptiveSmart/squashing:hist_end,1000000,8000000,0.02,0.2,true,0,0
Usual,1000000,16000000,0.02,0.2,true,3399523.810,190152.585
Usual:hist_begin,1000000,16000000,0.02,0.2,true,0,0
Usual:hist_end,1000000,16000000,0.02,0.2,true,0,0
ParallelUnions/halfing,1000000,16000000,0.02,0.2,true,3968535.829,107128.563
ParallelUnions/halfing:hist_begin,1000000,16000000,0.02,0.2,true,0,0
ParallelUnions/halfing:hist_end,1000000,16000000,0.02,0.2,true,0,0
