DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,4000000,64000000,0.100,0.100,3258666.379,158258.484
SeveralDSU,4000000,64000000,0.100,0.100,3280310.040,109926.175
ParallelUnions,4000000,64000000,0.100,0.100,3126693.363,115403.386
Adaptive,4000000,64000000,0.100,0.100,3464766.236,41951.405
Usual,4000000,64000000,0.200,0.100,3306770.857,115046.483
SeveralDSU,4000000,64000000,0.200,0.100,3276414.241,48564.045
ParallelUnions,4000000,64000000,0.200,0.100,3199136.229,135151.007
Adaptive,4000000,64000000,0.200,0.100,3604988.962,62194.746
Usual,4000000,64000000,0.300,0.100,3231424.241,193541.364
SeveralDSU,4000000,64000000,0.300,0.100,3439100.948,27793.493
ParallelUnions,4000000,64000000,0.300,0.100,3232484.224,181003.413
Adaptive,4000000,64000000,0.300,0.100,3487129.148,88182.907
Usual,4000000,64000000,0.400,0.100,2774470.142,23455.316
SeveralDSU,4000000,64000000,0.400,0.100,3012455.051,26704.988
ParallelUnions,4000000,64000000,0.400,0.100,3708408.266,35615.797
Adaptive,4000000,64000000,0.400,0.100,3774613.095,35371.940
Usual,4000000,64000000,0.500,0.100,3140747.617,134829.549
SeveralDSU,4000000,64000000,0.500,0.100,3270097.504,59647.838
ParallelUnions,4000000,64000000,0.500,0.100,3335837.444,127319.015
Adaptive,4000000,64000000,0.500,0.100,3580700.293,40033.131
