DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,4000000,64000000,0.100,0.100,3512378.445,26948.182
SeveralDSU,4000000,64000000,0.100,0.100,3494973.874,94544.332
ParallelUnions,4000000,64000000,0.100,0.100,3815947.465,177494.582
Adaptive,4000000,64000000,0.100,0.100,3772908.107,184373.444
Usual,4000000,64000000,0.200,0.100,3415813.107,36538.721
SeveralDSU,4000000,64000000,0.200,0.100,3354284.263,52332.124
ParallelUnions,4000000,64000000,0.200,0.100,3841368.542,107839.428
Adaptive,4000000,64000000,0.200,0.100,3589982.214,97776.967
Usual,4000000,64000000,0.300,0.100,2978876.836,74067.006
SeveralDSU,4000000,64000000,0.300,0.100,3186357.344,130762.888
ParallelUnions,4000000,64000000,0.300,0.100,3253488.283,120146.443
Adaptive,4000000,64000000,0.300,0.100,2871738.546,56037.113
Usual,4000000,64000000,0.400,0.100,3335458.622,95153.080
SeveralDSU,4000000,64000000,0.400,0.100,3405509.669,81407.359
ParallelUnions,4000000,64000000,0.400,0.100,3739224.451,51906.018
Adaptive,4000000,64000000,0.400,0.100,3683464.828,114465.571
Usual,4000000,64000000,0.500,0.100,3308987.159,115732.765
SeveralDSU,4000000,64000000,0.500,0.100,3403967.073,28704.494
ParallelUnions,4000000,64000000,0.500,0.100,3471863.385,351791.083
Adaptive,4000000,64000000,0.500,0.100,3070211.565,688437.378
