DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.020,0.200,1845340.500,256539.964
Usual:cross_node_read,1000000,4000000,0.020,0.200,0.000,0.000
Usual:this_node_read,1000000,4000000,0.020,0.200,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.020,0.200,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.020,0.200,0.000,0.000
Usual:this_node_write,1000000,4000000,0.020,0.200,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.020,0.200,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.020,0.200,750270.667,905.355
Usual:same_set_requests_false,1000000,4000000,0.020,0.200,250137.333,289.722
Usual:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
ParallelUnions/halfing,1000000,4000000,0.020,0.200,1633275.382,213298.844
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.020,0.200,999706.167,31.720
ParallelUnions/halfing:this_node_read,1000000,4000000,0.020,0.200,21701111.333,17885.139
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.020,0.200,1999253.000,60.249
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.020,0.200,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.020,0.200,3014916.167,8622.704
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.020,0.200,2000670.167,67.437
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.020,0.200,749819.500,715.657
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.020,0.200,250588.500,120.301
ParallelUnions/halfing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
Adaptive2/halfing,1000000,4000000,0.020,0.200,1450492.974,222137.963
Adaptive2/halfing:cross_node_read,1000000,4000000,0.020,0.200,757678.000,49999.550
Adaptive2/halfing:this_node_read,1000000,4000000,0.020,0.200,26520072.833,555533.672
Adaptive2/halfing:cross_node_write,1000000,4000000,0.020,0.200,17743.667,193.136
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.020,0.200,3931157.167,43997.466
Adaptive2/halfing:this_node_write,1000000,4000000,0.020,0.200,2304196.167,363891.533
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.020,0.200,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.020,0.200,749100.833,1199.445
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.020,0.200,251307.167,583.218
Adaptive2/halfing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
Adaptive3/halfing,1000000,4000000,0.020,0.200,1187033.802,161099.434
Adaptive3/halfing:cross_node_read,1000000,4000000,0.020,0.200,1140418.167,27086.426
Adaptive3/halfing:this_node_read,1000000,4000000,0.020,0.200,25521688.333,132746.985
Adaptive3/halfing:cross_node_write,1000000,4000000,0.020,0.200,18201.333,137.421
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.020,0.200,7046700.500,63394.998
Adaptive3/halfing:this_node_write,1000000,4000000,0.020,0.200,2075150.500,70585.080
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.020,0.200,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.020,0.200,750255.833,980.891
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.020,0.200,250152.167,365.254
Adaptive3/halfing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
ParallelUnions/squashing,1000000,4000000,0.020,0.200,998047.714,62209.417
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.020,0.200,999712.000,18.450
ParallelUnions/squashing:this_node_read,1000000,4000000,0.020,0.200,21818878.000,215062.455
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.020,0.200,1999253.000,60.249
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.020,0.200,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.020,0.200,3093807.167,94001.461
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.020,0.200,2000570.833,96.464
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.020,0.200,750190.667,1253.360
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.020,0.200,250217.333,636.789
ParallelUnions/squashing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
Adaptive2/squashing,1000000,4000000,0.020,0.200,914566.616,93614.055
Adaptive2/squashing:cross_node_read,1000000,4000000,0.020,0.200,778778.667,24742.124
Adaptive2/squashing:this_node_read,1000000,4000000,0.020,0.200,26474011.667,117773.358
Adaptive2/squashing:cross_node_write,1000000,4000000,0.020,0.200,17225.667,85.210
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.020,0.200,3923198.500,17129.520
Adaptive2/squashing:this_node_write,1000000,4000000,0.020,0.200,2040013.500,53159.332
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.020,0.200,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.020,0.200,749218.833,422.161
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.020,0.200,251189.167,210.835
Adaptive2/squashing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
Adaptive3/squashing,1000000,4000000,0.020,0.200,1189201.306,141444.498
Adaptive3/squashing:cross_node_read,1000000,4000000,0.020,0.200,1089725.000,27627.786
Adaptive3/squashing:this_node_read,1000000,4000000,0.020,0.200,25916574.000,185027.509
Adaptive3/squashing:cross_node_write,1000000,4000000,0.020,0.200,17421.667,152.350
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.020,0.200,7106553.667,15212.262
Adaptive3/squashing:this_node_write,1000000,4000000,0.020,0.200,2123815.833,80761.016
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.020,0.200,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.020,0.200,750132.667,1132.999
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.020,0.200,250275.333,518.373
Adaptive3/squashing:union_requests,1000000,4000000,0.020,0.200,3999560.000,616.736
Usual,1000000,16000000,0.020,0.200,2877485.445,256994.954
