DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.020,0.200,1786540.776,287729.854
ParallelUnions/halfing,1000000,4000000,0.020,0.200,2747141.986,272319.743
Adaptive2/halfing,1000000,4000000,0.020,0.200,3849422.111,61940.784
Adaptive3/halfing,1000000,4000000,0.020,0.200,3735497.246,110241.514
ParallelUnions/squashing,1000000,4000000,0.020,0.200,2690312.964,353679.232
Adaptive2/squashing,1000000,4000000,0.020,0.200,3625498.832,169725.594
Adaptive3/squashing,1000000,4000000,0.020,0.200,3602999.193,172251.621
Usual,1000000,16000000,0.020,0.200,3255575.035,142060.418
ParallelUnions/halfing,1000000,16000000,0.020,0.200,3765200.914,108345.471
Adaptive2/halfing,1000000,16000000,0.020,0.200,4449418.413,41110.574
Adaptive3/halfing,1000000,16000000,0.020,0.200,4330635.229,44044.345
ParallelUnions/squashing,1000000,16000000,0.020,0.200,3624967.027,112644.937
Adaptive2/squashing,1000000,16000000,0.020,0.200,4279819.293,63003.156
Adaptive3/squashing,1000000,16000000,0.020,0.200,4209579.316,47206.982
Usual,1000000,64000000,0.020,0.200,4554504.941,42632.543
ParallelUnions/halfing,1000000,64000000,0.020,0.200,4474315.988,67504.569
Adaptive2/halfing,1000000,64000000,0.020,0.200,4632714.435,27893.938
Adaptive3/halfing,1000000,64000000,0.020,0.200,4563214.576,32876.200
ParallelUnions/squashing,1000000,64000000,0.020,0.200,4476276.129,82397.410
Adaptive2/squashing,1000000,64000000,0.020,0.200,4671434.951,36085.338
Adaptive3/squashing,1000000,64000000,0.020,0.200,4616853.286,34211.506
Usual,1000000,4000000,0.100,0.200,1959087.924,365002.508
ParallelUnions/halfing,1000000,4000000,0.100,0.200,2550193.335,543477.950
Adaptive2/halfing,1000000,4000000,0.100,0.200,3476505.495,156074.394
Adaptive3/halfing,1000000,4000000,0.100,0.200,3373280.781,150681.510
ParallelUnions/squashing,1000000,4000000,0.100,0.200,2428209.303,749848.649
Adaptive2/squashing,1000000,4000000,0.100,0.200,3192281.435,430020.612
Adaptive3/squashing,1000000,4000000,0.100,0.200,3178524.671,376291.851
Usual,1000000,16000000,0.100,0.200,3345630.118,263535.965
ParallelUnions/halfing,1000000,16000000,0.100,0.200,3853913.100,180380.501
Adaptive2/halfing,1000000,16000000,0.100,0.200,4274708.725,50074.065
Adaptive3/halfing,1000000,16000000,0.100,0.200,4167769.980,62400.971
ParallelUnions/squashing,1000000,16000000,0.100,0.200,3728686.306,177572.478
Adaptive2/squashing,1000000,16000000,0.100,0.200,4154095.805,103213.559
Adaptive3/squashing,1000000,16000000,0.100,0.200,4074969.151,71198.317
Usual,1000000,64000000,0.100,0.200,4482990.465,84579.556
ParallelUnions/halfing,1000000,64000000,0.100,0.200,4480575.391,37433.616
Adaptive2/halfing,1000000,64000000,0.100,0.200,4608257.973,51411.216
Adaptive3/halfing,1000000,64000000,0.100,0.200,4516655.001,41254.840
ParallelUnions/squashing,1000000,64000000,0.100,0.200,4445368.717,53438.575
Adaptive2/squashing,1000000,64000000,0.100,0.200,4601945.427,48708.860
Adaptive3/squashing,1000000,64000000,0.100,0.200,4562912.930,39086.914
Usual,1000000,4000000,0.300,0.200,1579000.207,119939.405
ParallelUnions/halfing,1000000,4000000,0.300,0.200,2281277.457,230935.446
Adaptive2/halfing,1000000,4000000,0.300,0.200,3055005.254,81734.025
Adaptive3/halfing,1000000,4000000,0.300,0.200,3016089.868,85667.317
ParallelUnions/squashing,1000000,4000000,0.300,0.200,2039236.109,196127.553
Adaptive2/squashing,1000000,4000000,0.300,0.200,2848402.918,78750.159
Adaptive3/squashing,1000000,4000000,0.300,0.200,2792098.868,61584.006
Usual,1000000,16000000,0.300,0.200,3659660.658,145391.196
ParallelUnions/halfing,1000000,16000000,0.300,0.200,3654008.816,160753.617
Adaptive2/halfing,1000000,16000000,0.300,0.200,4050949.840,94023.640
Adaptive3/halfing,1000000,16000000,0.300,0.200,3995795.799,77201.256
ParallelUnions/squashing,1000000,16000000,0.300,0.200,3435475.503,163336.972
Adaptive2/squashing,1000000,16000000,0.300,0.200,3949316.538,83159.026
Adaptive3/squashing,1000000,16000000,0.300,0.200,3882608.892,94807.553
Usual,1000000,64000000,0.300,0.200,4394918.980,123924.727
ParallelUnions/halfing,1000000,64000000,0.300,0.200,4386100.009,79615.878
Adaptive2/halfing,1000000,64000000,0.300,0.200,4495212.891,101045.190
Adaptive3/halfing,1000000,64000000,0.300,0.200,4421987.898,82850.366
ParallelUnions/squashing,1000000,64000000,0.300,0.200,4328222.201,104202.026
Adaptive2/squashing,1000000,64000000,0.300,0.200,4501557.326,89033.212
Adaptive3/squashing,1000000,64000000,0.300,0.200,4460338.505,73770.347
Usual,1000000,4000000,0.020,0.350,2064746.570,386948.795
ParallelUnions/halfing,1000000,4000000,0.020,0.350,3258511.525,108243.057
Adaptive2/halfing,1000000,4000000,0.020,0.350,3958596.128,63790.941
Adaptive3/halfing,1000000,4000000,0.020,0.350,3820128.828,81774.435
ParallelUnions/squashing,1000000,4000000,0.020,0.350,3277747.642,133129.862
Adaptive2/squashing,1000000,4000000,0.020,0.350,3852971.198,114986.006
Adaptive3/squashing,1000000,4000000,0.020,0.350,3791196.987,105423.753
Usual,1000000,16000000,0.020,0.350,3656045.624,187841.629
ParallelUnions/halfing,1000000,16000000,0.020,0.350,4202151.245,75657.191
Adaptive2/halfing,1000000,16000000,0.020,0.350,4478010.721,40379.410
Adaptive3/halfing,1000000,16000000,0.020,0.350,4346649.945,31692.197
ParallelUnions/squashing,1000000,16000000,0.020,0.350,4174218.049,106535.605
Adaptive2/squashing,1000000,16000000,0.020,0.350,4465514.725,43122.806
Adaptive3/squashing,1000000,16000000,0.020,0.350,4360343.824,59385.050
Usual,1000000,64000000,0.020,0.350,4483288.069,103075.698
ParallelUnions/halfing,1000000,64000000,0.020,0.350,4573297.389,42539.019
Adaptive2/halfing,1000000,64000000,0.020,0.350,4657487.257,22782.630
Adaptive3/halfing,1000000,64000000,0.020,0.350,4505278.846,31765.047
ParallelUnions/squashing,1000000,64000000,0.020,0.350,4562013.217,50944.554
Adaptive2/squashing,1000000,64000000,0.020,0.350,4661922.023,28172.449
Adaptive3/squashing,1000000,64000000,0.020,0.350,4564888.913,32431.215
Usual,1000000,4000000,0.100,0.350,2157045.664,149937.974
ParallelUnions/halfing,1000000,4000000,0.100,0.350,2973656.826,323145.259
Adaptive2/halfing,1000000,4000000,0.100,0.350,3615045.717,91456.581
Adaptive3/halfing,1000000,4000000,0.100,0.350,3460662.658,88968.596
ParallelUnions/squashing,1000000,4000000,0.100,0.350,2784076.707,479927.256
Adaptive2/squashing,1000000,4000000,0.100,0.350,3437561.280,193642.715
Adaptive3/squashing,1000000,4000000,0.100,0.350,3322200.204,232541.389
Usual,1000000,16000000,0.100,0.350,3561740.827,214655.599
ParallelUnions/halfing,1000000,16000000,0.100,0.350,3865549.888,80801.487
Adaptive2/halfing,1000000,16000000,0.100,0.350,4269491.316,52017.439
Adaptive3/halfing,1000000,16000000,0.100,0.350,4150942.132,41667.704
ParallelUnions/squashing,1000000,16000000,0.100,0.350,3723202.609,89981.615
Adaptive2/squashing,1000000,16000000,0.100,0.350,4196314.316,34955.212
Adaptive3/squashing,1000000,16000000,0.100,0.350,4064384.951,50149.715
Usual,1000000,64000000,0.100,0.350,4440553.081,28681.110
ParallelUnions/halfing,1000000,64000000,0.100,0.350,4459590.013,44343.712
Adaptive2/halfing,1000000,64000000,0.100,0.350,4548947.988,67181.675
Adaptive3/halfing,1000000,64000000,0.100,0.350,4431822.677,60499.235
ParallelUnions/squashing,1000000,64000000,0.100,0.350,4412735.398,49094.288
Adaptive2/squashing,1000000,64000000,0.100,0.350,4556314.604,47836.560
Adaptive3/squashing,1000000,64000000,0.100,0.350,4469867.704,46623.011
Usual,1000000,4000000,0.300,0.350,2449767.008,100583.646
ParallelUnions/halfing,1000000,4000000,0.300,0.350,2250058.970,255703.124
Adaptive2/halfing,1000000,4000000,0.300,0.350,3093805.044,64768.412
Adaptive3/halfing,1000000,4000000,0.300,0.350,2992133.887,75706.124
ParallelUnions/squashing,1000000,4000000,0.300,0.350,2038887.984,211266.859
Adaptive2/squashing,1000000,4000000,0.300,0.350,2800757.609,102399.844
Adaptive3/squashing,1000000,4000000,0.300,0.350,2720438.802,88805.789
Usual,1000000,16000000,0.300,0.350,3936228.993,54972.132
ParallelUnions/halfing,1000000,16000000,0.300,0.350,3892303.882,310988.520
Adaptive2/halfing,1000000,16000000,0.300,0.350,4118842.478,65838.076
Adaptive3/halfing,1000000,16000000,0.300,0.350,4020102.841,61716.388
ParallelUnions/squashing,1000000,16000000,0.300,0.350,3765792.779,441089.664
Adaptive2/squashing,1000000,16000000,0.300,0.350,3983932.158,155659.840
Adaptive3/squashing,1000000,16000000,0.300,0.350,3954404.375,128007.553
Usual,1000000,64000000,0.300,0.350,4453222.211,89726.866
ParallelUnions/halfing,1000000,64000000,0.300,0.350,4522679.327,66762.618
Adaptive2/halfing,1000000,64000000,0.300,0.350,4497785.745,87832.347
Adaptive3/halfing,1000000,64000000,0.300,0.350,4374869.298,65252.733
ParallelUnions/squashing,1000000,64000000,0.300,0.350,4469913.986,87400.163
Adaptive2/squashing,1000000,64000000,0.300,0.350,4496239.290,87561.013
Adaptive3/squashing,1000000,64000000,0.300,0.350,4439360.180,59970.842
Usual,1000000,4000000,0.020,0.500,2403150.062,100482.793
ParallelUnions/halfing,1000000,4000000,0.020,0.500,3167205.827,406078.332
Adaptive2/halfing,1000000,4000000,0.020,0.500,3956438.603,84054.793
Adaptive3/halfing,1000000,4000000,0.020,0.500,3810171.882,74910.736
ParallelUnions/squashing,1000000,4000000,0.020,0.500,3095324.174,484694.250
Adaptive2/squashing,1000000,4000000,0.020,0.500,3911121.604,114636.527
Adaptive3/squashing,1000000,4000000,0.020,0.500,3632318.721,235902.936
Usual,1000000,16000000,0.020,0.500,3909101.216,180155.768
ParallelUnions/halfing,1000000,16000000,0.020,0.500,4186974.241,152094.956
Adaptive2/halfing,1000000,16000000,0.020,0.500,4468077.279,40608.771
Adaptive3/halfing,1000000,16000000,0.020,0.500,4297942.854,33812.240
ParallelUnions/squashing,1000000,16000000,0.020,0.500,4160651.372,188393.979
Adaptive2/squashing,1000000,16000000,0.020,0.500,4444857.944,54177.231
Adaptive3/squashing,1000000,16000000,0.020,0.500,4256201.512,85149.815
Usual,1000000,64000000,0.020,0.500,4518013.151,82722.133
ParallelUnions/halfing,1000000,64000000,0.020,0.500,4546106.501,29838.543
Adaptive2/halfing,1000000,64000000,0.020,0.500,4600044.336,28501.451
Adaptive3/halfing,1000000,64000000,0.020,0.500,4435863.997,41483.031
ParallelUnions/squashing,1000000,64000000,0.020,0.500,4514589.280,38421.855
Adaptive2/squashing,1000000,64000000,0.020,0.500,4599090.504,29864.579
Adaptive3/squashing,1000000,64000000,0.020,0.500,4447685.901,33942.725
Usual,1000000,4000000,0.100,0.500,2015469.331,228201.247
ParallelUnions/halfing,1000000,4000000,0.100,0.500,3255257.801,185490.821
Adaptive2/halfing,1000000,4000000,0.100,0.500,3703948.242,61097.578
Adaptive3/halfing,1000000,4000000,0.100,0.500,3540537.951,56228.621
ParallelUnions/squashing,1000000,4000000,0.100,0.500,3255406.331,283258.512
Adaptive2/squashing,1000000,4000000,0.100,0.500,3648371.626,122944.882
Adaptive3/squashing,1000000,4000000,0.100,0.500,3514696.684,114540.419
Usual,1000000,16000000,0.100,0.500,3871772.471,160169.004
ParallelUnions/halfing,1000000,16000000,0.100,0.500,4318872.017,27949.945
Adaptive2/halfing,1000000,16000000,0.100,0.500,4357582.400,22924.399
Adaptive3/halfing,1000000,16000000,0.100,0.500,4187641.595,27908.453
ParallelUnions/squashing,1000000,16000000,0.100,0.500,4350138.441,28888.530
Adaptive2/squashing,1000000,16000000,0.100,0.500,4347226.784,31406.434
Adaptive3/squashing,1000000,16000000,0.100,0.500,4241248.125,27368.610
Usual,1000000,64000000,0.100,0.500,4541210.936,66687.953
ParallelUnions/halfing,1000000,64000000,0.100,0.500,4547044.559,29878.027
Adaptive2/halfing,1000000,64000000,0.100,0.500,4557591.419,58186.499
Adaptive3/halfing,1000000,64000000,0.100,0.500,4395726.902,33913.151
ParallelUnions/squashing,1000000,64000000,0.100,0.500,4498502.160,47147.859
