DSU,N,E,interpairFraction,sameSetFraction,shuffleVertices,Score,Score Error
AdaptiveSmart/halfing,1000000,4000000,0.020,0.200,1,1651943.289,330242.212
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.020,0.200,1,522009.167,256130.729
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.020,0.200,1,23020994.667,559189.062
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.020,0.200,1,17374.667,327.827
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.020,0.200,1,451739.500,47329.975
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.020,0.200,1,2461740.167,452871.090
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.020,0.200,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.020,0.200,1,747620.667,1012.667
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.020,0.200,1,251626.333,759.247
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.020,0.200,1,4000721.000,257.430
AdaptiveSmart/squashing,1000000,4000000,0.020,0.200,1,1603625.763,349333.765
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.020,0.200,1,459736.667,42894.217
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.020,0.200,1,23468570.333,911980.406
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.020,0.200,1,17092.833,108.601
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.020,0.200,1,470176.500,37131.374
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.020,0.200,1,2423067.000,475598.783
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.020,0.200,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.020,0.200,1,748031.500,871.249
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.020,0.200,1,251215.500,613.898
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.020,0.200,1,4000721.000,257.430
AdaptiveSmart/halfing,1000000,16000000,0.020,0.200,1,2358312.559,518674.452
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.020,0.200,1,1756815.000,689855.583
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.020,0.200,1,84862836.333,1555223.225
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.020,0.200,1,17500.667,250.884
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.020,0.200,1,2016090.167,1220750.101
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.020,0.200,1,2281570.500,128262.081
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.020,0.200,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.020,0.200,1,3750848.833,1379.145
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.020,0.200,1,250975.667,1467.100
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.020,0.200,1,15998175.500,104.615
AdaptiveSmart/squashing,1000000,16000000,0.020,0.200,1,2373262.540,531796.688
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.020,0.200,1,1907957.833,941706.749
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.020,0.200,1,84683056.000,542971.580
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.020,0.200,1,17314.833,121.979
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.020,0.200,1,1280272.167,150387.500
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.020,0.200,1,2287701.500,138640.143
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.020,0.200,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.020,0.200,1,3751688.833,255.063
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.020,0.200,1,250135.667,344.708
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.020,0.200,1,15998175.500,104.615
AdaptiveSmart/halfing,1000000,64000000,0.020,0.200,1,2501913.378,667868.077
AdaptiveSmart/halfing:cross_node_read,1000000,64000000,0.020,0.200,1,5539358.500,1713451.615
