DSU,N,E,interpairFraction,sameSetFraction,shuffleVertices,Score,Score Error
AdaptiveSmart/halfing,1000000,4000000,0.020,0.200,1,3113458.583,374609.916
AdaptiveSmart/squashing,1000000,4000000,0.020,0.200,1,3024601.238,281810.914
AdaptiveSmart/halfing,1000000,16000000,0.020,0.200,1,4247430.723,162317.298
AdaptiveSmart/squashing,1000000,16000000,0.020,0.200,1,4095824.217,272893.723
AdaptiveSmart/halfing,1000000,64000000,0.020,0.200,1,4553121.878,168892.631
AdaptiveSmart/squashing,1000000,64000000,0.020,0.200,1,4520398.267,197143.045
AdaptiveSmart/halfing,1000000,4000000,0.100,0.200,1,2651428.589,231765.415
AdaptiveSmart/squashing,1000000,4000000,0.100,0.200,1,2655283.522,198236.649
AdaptiveSmart/halfing,1000000,16000000,0.100,0.200,1,3534063.193,325485.843
AdaptiveSmart/squashing,1000000,16000000,0.100,0.200,1,3583857.831,366840.362
AdaptiveSmart/halfing,1000000,64000000,0.100,0.200,1,4333504.510,301436.953
AdaptiveSmart/squashing,1000000,64000000,0.100,0.200,1,4330051.535,257163.836
AdaptiveSmart/halfing,1000000,4000000,0.300,0.200,1,2194243.352,64220.480
AdaptiveSmart/squashing,1000000,4000000,0.300,0.200,1,2267846.773,76783.952
AdaptiveSmart/halfing,1000000,16000000,0.300,0.200,1,3318620.806,348613.752
AdaptiveSmart/squashing,1000000,16000000,0.300,0.200,1,3324262.053,289338.460
AdaptiveSmart/halfing,1000000,64000000,0.300,0.200,1,4278644.557,233757.461
AdaptiveSmart/squashing,1000000,64000000,0.300,0.200,1,4180430.574,272633.852
AdaptiveSmart/halfing,1000000,4000000,0.020,0.350,1,3270747.318,228897.476
AdaptiveSmart/squashing,1000000,4000000,0.020,0.350,1,3302611.628,162992.326
AdaptiveSmart/halfing,1000000,16000000,0.020,0.350,1,4238730.082,149673.504
AdaptiveSmart/squashing,1000000,16000000,0.020,0.350,1,4273528.288,207880.367
AdaptiveSmart/halfing,1000000,64000000,0.020,0.350,1,4622425.613,144145.979
AdaptiveSmart/squashing,1000000,64000000,0.020,0.350,1,4671968.923,87206.851
AdaptiveSmart/halfing,1000000,4000000,0.100,0.350,1,2795766.060,205042.990
AdaptiveSmart/squashing,1000000,4000000,0.100,0.350,1,2640043.465,423046.053
AdaptiveSmart/halfing,1000000,16000000,0.100,0.350,1,3803374.188,244665.570
AdaptiveSmart/squashing,1000000,16000000,0.100,0.350,1,3702475.053,240915.369
AdaptiveSmart/halfing,1000000,64000000,0.100,0.350,1,4390267.046,251305.328
AdaptiveSmart/squashing,1000000,64000000,0.100,0.350,1,4473813.329,191199.990
AdaptiveSmart/halfing,1000000,4000000,0.300,0.350,1,2283783.134,161590.348
AdaptiveSmart/squashing,1000000,4000000,0.300,0.350,1,2184086.520,137824.857
AdaptiveSmart/halfing,1000000,16000000,0.300,0.350,1,3049476.418,304985.519
AdaptiveSmart/squashing,1000000,16000000,0.300,0.350,1,3290230.716,268154.142
AdaptiveSmart/halfing,1000000,64000000,0.300,0.350,1,4022947.732,390426.694
AdaptiveSmart/squashing,1000000,64000000,0.300,0.350,1,3998904.449,370512.384
AdaptiveSmart/halfing,1000000,4000000,0.020,0.500,1,3289910.374,240568.961
AdaptiveSmart/squashing,1000000,4000000,0.020,0.500,1,3135269.727,194623.897
AdaptiveSmart/halfing,1000000,16000000,0.020,0.500,1,4285863.238,195174.249
AdaptiveSmart/squashing,1000000,16000000,0.020,0.500,1,4252113.749,171648.306
AdaptiveSmart/halfing,1000000,64000000,0.020,0.500,1,4568671.389,183816.634
AdaptiveSmart/squashing,1000000,64000000,0.020,0.500,1,4546577.096,190340.036
