DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/halfing,0,1000000,4000000,0.02,0.2,true,1765962.759,389143.755
Adaptive2/halfing:cross_node_read,0,1000000,4000000,0.02,0.2,true,765566.000,1006151.363
Adaptive2/halfing:this_node_read,0,1000000,4000000,0.02,0.2,true,7261786.500,672775.039
Adaptive2/halfing:cross_node_write,0,1000000,4000000,0.02,0.2,true,23.667,57.971
Adaptive2/halfing:this_node_read_success,0,1000000,4000000,0.02,0.2,true,486290.000,521483.699
Adaptive2/halfing:this_node_write,0,1000000,4000000,0.02,0.2,true,28.667,70.219
Adaptive2/halfing:global_data_read_write,0,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,4000000,0.02,0.2,true,332601.333,315.880
Adaptive2/halfing:same_set_requests_false,0,1000000,4000000,0.02,0.2,true,211.167,171.619
Adaptive2/halfing:union_requests,0,1000000,4000000,0.02,0.2,true,1333779.500,233.878
Adaptive2/halfing,1,1000000,4000000,0.02,0.2,true,1816323.570,392184.470
Adaptive2/halfing:cross_node_read,1,1000000,4000000,0.02,0.2,true,764830.833,1009011.076
Adaptive2/halfing:this_node_read,1,1000000,4000000,0.02,0.2,true,7258722.667,677786.423
Adaptive2/halfing:cross_node_write,1,1000000,4000000,0.02,0.2,true,2.167,5.307
Adaptive2/halfing:this_node_read_success,1,1000000,4000000,0.02,0.2,true,494570.000,512583.455
Adaptive2/halfing:this_node_write,1,1000000,4000000,0.02,0.2,true,2.000,4.899
Adaptive2/halfing:global_data_read_write,1,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,4000000,0.02,0.2,true,332162.833,264.988
Adaptive2/halfing:same_set_requests_false,1,1000000,4000000,0.02,0.2,true,206.667,154.631
Adaptive2/halfing:union_requests,1,1000000,4000000,0.02,0.2,true,1334222.500,170.342
Adaptive2/halfing,2,1000000,4000000,0.02,0.2,true,1799178.531,397965.669
Adaptive2/halfing:cross_node_read,2,1000000,4000000,0.02,0.2,true,553674.167,657743.583
Adaptive2/halfing:this_node_read,2,1000000,4000000,0.02,0.2,true,7336662.000,715578.133
Adaptive2/halfing:cross_node_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,4000000,0.02,0.2,true,664029.167,678205.068
Adaptive2/halfing:this_node_write,2,1000000,4000000,0.02,0.2,true,41261.167,100412.625
Adaptive2/halfing:global_data_read_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,4000000,0.02,0.2,true,333798.500,337.694
Adaptive2/halfing:same_set_requests_false,2,1000000,4000000,0.02,0.2,true,165.000,113.277
Adaptive2/halfing:union_requests,2,1000000,4000000,0.02,0.2,true,1332820.500,443.108
Adaptive3/halfing,0,1000000,4000000,0.02,0.2,true,2058305.046,672423.090
Adaptive3/halfing:cross_node_read,0,1000000,4000000,0.02,0.2,true,709166.167,850003.295
Adaptive3/halfing:this_node_read,0,1000000,4000000,0.02,0.2,true,6857487.833,679148.584
Adaptive3/halfing:cross_node_write,0,1000000,4000000,0.02,0.2,true,23.667,57.971
Adaptive3/halfing:this_node_read_success,0,1000000,4000000,0.02,0.2,true,1108058.000,293725.583
Adaptive3/halfing:this_node_write,0,1000000,4000000,0.02,0.2,true,16272.500,38689.786
Adaptive3/halfing:global_data_read_write,0,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,4000000,0.02,0.2,true,332683.000,344.446
Adaptive3/halfing:same_set_requests_false,0,1000000,4000000,0.02,0.2,true,129.500,113.843
Adaptive3/halfing:union_requests,0,1000000,4000000,0.02,0.2,true,1333779.500,233.878
Adaptive3/halfing,1,1000000,4000000,0.02,0.2,true,2048770.651,619131.439
Adaptive3/halfing:cross_node_read,1,1000000,4000000,0.02,0.2,true,636392.500,693226.918
Adaptive3/halfing:this_node_read,1,1000000,4000000,0.02,0.2,true,6807002.667,593929.788
Adaptive3/halfing:cross_node_write,1,1000000,4000000,0.02,0.2,true,2.167,5.307
Adaptive3/halfing:this_node_read_success,1,1000000,4000000,0.02,0.2,true,1100625.667,285730.521
Adaptive3/halfing:this_node_write,1,1000000,4000000,0.02,0.2,true,10573.833,25744.446
Adaptive3/halfing:global_data_read_write,1,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1,1000000,4000000,0.02,0.2,true,332247.500,302.893
Adaptive3/halfing:same_set_requests_false,1,1000000,4000000,0.02,0.2,true,122.000,132.553
Adaptive3/halfing:union_requests,1,1000000,4000000,0.02,0.2,true,1334222.500,170.342
Adaptive3/halfing,2,1000000,4000000,0.02,0.2,true,2140980.479,623721.329
Adaptive3/halfing:cross_node_read,2,1000000,4000000,0.02,0.2,true,466239.333,368154.626
Adaptive3/halfing:this_node_read,2,1000000,4000000,0.02,0.2,true,6819294.833,528907.751
Adaptive3/halfing:cross_node_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,2,1000000,4000000,0.02,0.2,true,1208898.167,388030.867
Adaptive3/halfing:this_node_write,2,1000000,4000000,0.02,0.2,true,32736.167,79877.038
Adaptive3/halfing:global_data_read_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,2,1000000,4000000,0.02,0.2,true,333835.500,302.891
Adaptive3/halfing:same_set_requests_false,2,1000000,4000000,0.02,0.2,true,128.000,140.217
Adaptive3/halfing:union_requests,2,1000000,4000000,0.02,0.2,true,1332820.500,443.108
Adaptive2/squashing,0,1000000,4000000,0.02,0.2,true,1613067.591,362324.463
Adaptive2/squashing:cross_node_read,0,1000000,4000000,0.02,0.2,true,766076.500,1002746.292
Adaptive2/squashing:this_node_read,0,1000000,4000000,0.02,0.2,true,7264970.833,672254.549
Adaptive2/squashing:cross_node_write,0,1000000,4000000,0.02,0.2,true,23.667,57.971
