DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.100,1217671.184,162491.303
Usual:cross_node_read,1000000,4000000,0.100,0.100,0.000,0.000
Usual:this_node_read,1000000,4000000,0.100,0.100,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.100,0.100,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.100,0.100,0.000,0.000
Usual:this_node_write,1000000,4000000,0.100,0.100,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.100,0.100,333279.167,443.609
Usual:same_set_requests_false,1000000,4000000,0.100,0.100,110920.333,156.167
Usual:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
SeveralDSU,1000000,4000000,0.100,0.100,979579.525,73100.921
SeveralDSU:cross_node_read,1000000,4000000,0.100,0.100,0.000,0.000
SeveralDSU:this_node_read,1000000,4000000,0.100,0.100,0.000,0.000
SeveralDSU:cross_node_write,1000000,4000000,0.100,0.100,0.000,0.000
SeveralDSU:this_node_read_success,1000000,4000000,0.100,0.100,0.000,0.000
SeveralDSU:this_node_write,1000000,4000000,0.100,0.100,0.000,0.000
SeveralDSU:same_set_requests_true,1000000,4000000,0.100,0.100,333153.667,324.740
SeveralDSU:same_set_requests_false,1000000,4000000,0.100,0.100,111045.833,41.460
SeveralDSU:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
ParallelUnions/halfing,1000000,4000000,0.100,0.100,828407.324,88785.941
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/halfing:this_node_read,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.100,0.100,333283.833,390.550
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.100,0.100,110915.667,105.988
ParallelUnions/halfing:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
Adaptive/halfing,1000000,4000000,0.100,0.100,156693.510,23451.711
Adaptive/halfing:cross_node_read,1000000,4000000,0.100,0.100,4873814.167,180380.513
Adaptive/halfing:this_node_read,1000000,4000000,0.100,0.100,20923438.167,852249.743
Adaptive/halfing:cross_node_write,1000000,4000000,0.100,0.100,74119.333,234.664
Adaptive/halfing:this_node_read_success,1000000,4000000,0.100,0.100,16049624.000,671871.618
Adaptive/halfing:this_node_write,1000000,4000000,0.100,0.100,2622245.000,393207.594
Adaptive/halfing:same_set_requests_true,1000000,4000000,0.100,0.100,333273.333,419.495
Adaptive/halfing:same_set_requests_false,1000000,4000000,0.100,0.100,110926.167,130.429
Adaptive/halfing:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
AdaptiveLocks/halfing,1000000,4000000,0.100,0.100,140495.685,35669.577
AdaptiveLocks/halfing:cross_node_read,1000000,4000000,0.100,0.100,0.000,0.000
AdaptiveLocks/halfing:this_node_read,1000000,4000000,0.100,0.100,21408357.167,946022.203
AdaptiveLocks/halfing:cross_node_write,1000000,4000000,0.100,0.100,1999313.000,66.822
AdaptiveLocks/halfing:this_node_read_success,1000000,4000000,0.100,0.100,21408357.167,946022.203
AdaptiveLocks/halfing:this_node_write,1000000,4000000,0.100,0.100,3758340.833,472959.962
AdaptiveLocks/halfing:same_set_requests_true,1000000,4000000,0.100,0.100,333280.333,383.158
AdaptiveLocks/halfing:same_set_requests_false,1000000,4000000,0.100,0.100,110919.167,93.775
AdaptiveLocks/halfing:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
LazyUnions/halfing,1000000,4000000,0.100,0.100,150925.182,29425.038
LazyUnions/halfing:cross_node_read,1000000,4000000,0.100,0.100,494148.500,5898.212
LazyUnions/halfing:this_node_read,1000000,4000000,0.100,0.100,20939964.500,628008.572
LazyUnions/halfing:cross_node_write,1000000,4000000,0.100,0.100,999780.167,25.309
LazyUnions/halfing:this_node_read_success,1000000,4000000,0.100,0.100,20445784.000,633900.426
LazyUnions/halfing:this_node_write,1000000,4000000,0.100,0.100,3725225.667,287690.173
LazyUnions/halfing:same_set_requests_true,1000000,4000000,0.100,0.100,333321.167,466.388
LazyUnions/halfing:same_set_requests_false,1000000,4000000,0.100,0.100,110878.333,177.094
LazyUnions/halfing:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
ParallelUnions/squashing,1000000,4000000,0.100,0.100,1123594.764,128622.801
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/squashing:this_node_read,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.100,0.100,0.000,0.000
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.100,0.100,333346.500,340.323
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.100,0.100,110853.000,75.028
ParallelUnions/squashing:union_requests,1000000,4000000,0.100,0.100,4000244.500,289.745
Adaptive/squashing,1000000,4000000,0.100,0.100,160238.622,47285.606
Adaptive/squashing:cross_node_read,1000000,4000000,0.100,0.100,4316006.167,2092.443
Adaptive/squashing:this_node_read,1000000,4000000,0.100,0.100,21214547.833,1174841.668
Adaptive/squashing:cross_node_write,1000000,4000000,0.100,0.100,70637.833,28.379
Adaptive/squashing:this_node_read_success,1000000,4000000,0.100,0.100,16898541.667,1172790.872
