DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.000,0.600,3264245.914,278368.134
Usual:cross_node_read,1000000,4000000,0.000,0.600,0.000,0.000
Usual:this_node_read,1000000,4000000,0.000,0.600,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.000,0.600,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.000,0.600,0.000,0.000
Usual:this_node_write,1000000,4000000,0.000,0.600,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.000,0.600,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.000,0.600,4497316.833,337.644
Usual:same_set_requests_false,1000000,4000000,0.000,0.600,1501364.667,2676.429
Usual:union_requests,1000000,4000000,0.000,0.600,4001318.500,2359.041
ParallelUnions/halfing,1000000,4000000,0.000,0.600,2356271.539,332365.285
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.000,0.600,999726.333,11.978
ParallelUnions/halfing:this_node_read,1000000,4000000,0.000,0.600,29735807.667,1564809.063
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.000,0.600,1999326.000,32.863
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.000,0.600,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.000,0.600,3851323.833,459996.566
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.000,0.600,2000270.167,72.590
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.000,0.600,4497140.000,853.343
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.000,0.600,1501541.500,1507.400
ParallelUnions/halfing:union_requests,1000000,4000000,0.000,0.600,4001318.500,2359.041
Adaptive/halfing,1000000,4000000,0.000,0.600,686121.539,177783.746
Adaptive/halfing:cross_node_read,1000000,4000000,0.000,0.600,0.000,0.000
Adaptive/halfing:this_node_read,1000000,4000000,0.000,0.600,44882870.000,44861.164
Adaptive/halfing:cross_node_write,1000000,4000000,0.000,0.600,0.000,0.000
Adaptive/halfing:this_node_read_success,1000000,4000000,0.000,0.600,44882870.000,44861.164
Adaptive/halfing:this_node_write,1000000,4000000,0.000,0.600,2690146.000,22813.973
Adaptive/halfing:global_data_read_write,1000000,4000000,0.000,0.600,0.000,0.000
Adaptive/halfing:same_set_requests_true,1000000,4000000,0.000,0.600,4497426.833,1660.637
Adaptive/halfing:same_set_requests_false,1000000,4000000,0.000,0.600,1501254.667,703.738
Adaptive/halfing:union_requests,1000000,4000000,0.000,0.600,4001318.500,2359.041
AdaptiveLocks/halfing,1000000,4000000,0.000,0.600,754405.538,178628.399
AdaptiveLocks/halfing:cross_node_read,1000000,4000000,0.000,0.600,0.000,0.000
AdaptiveLocks/halfing:this_node_read,1000000,4000000,0.000,0.600,44485990.167,8860.706
AdaptiveLocks/halfing:cross_node_write,1000000,4000000,0.000,0.600,0.000,0.000
AdaptiveLocks/halfing:this_node_read_success,1000000,4000000,0.000,0.600,44485990.167,8860.706
AdaptiveLocks/halfing:this_node_write,1000000,4000000,0.000,0.600,3491673.667,4348.763
AdaptiveLocks/halfing:global_data_read_write,1000000,4000000,0.000,0.600,2999342.833,47.856
AdaptiveLocks/halfing:same_set_requests_true,1000000,4000000,0.000,0.600,4498204.000,808.028
AdaptiveLocks/halfing:same_set_requests_false,1000000,4000000,0.000,0.600,1500477.500,1554.273
AdaptiveLocks/halfing:union_requests,1000000,4000000,0.000,0.600,4001318.500,2359.041
LazyUnions/halfing,1000000,4000000,0.000,0.600,685907.344,198197.524
LazyUnions/halfing:cross_node_read,1000000,4000000,0.000,0.600,0.000,0.000
LazyUnions/halfing:this_node_read,1000000,4000000,0.000,0.600,45024396.500,523091.021
