DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.100,2011439.664,292638.106
SeveralDSU,1000000,4000000,0.100,0.100,2224945.109,161674.934
ParallelUnions/halfing,1000000,4000000,0.100,0.100,2707096.392,60105.137
Adaptive/halfing,1000000,4000000,0.100,0.100,3110111.060,243181.211
AdaptiveLocks/halfing,1000000,4000000,0.100,0.100,2921139.186,68816.092
LazyUnions/halfing,1000000,4000000,0.100,0.100,2248270.141,319182.864
ParallelUnions/squashing,1000000,4000000,0.100,0.100,2034924.120,224052.494
Adaptive/squashing,1000000,4000000,0.100,0.100,2872552.839,241017.674
AdaptiveLocks/squashing,1000000,4000000,0.100,0.100,2640720.846,61946.736
LazyUnions/squashing,1000000,4000000,0.100,0.100,1957674.784,321437.194
Usual,1000000,16000000,0.100,0.100,3358450.014,244426.922
SeveralDSU,1000000,16000000,0.100,0.100,3670949.815,62310.175
ParallelUnions/halfing,1000000,16000000,0.100,0.100,3940730.884,43395.746
Adaptive/halfing,1000000,16000000,0.100,0.100,4043843.320,132584.672
AdaptiveLocks/halfing,1000000,16000000,0.100,0.100,3996246.747,51417.212
LazyUnions/halfing,1000000,16000000,0.100,0.100,3569041.138,60238.347
ParallelUnions/squashing,1000000,16000000,0.100,0.100,3711013.322,103355.187
Adaptive/squashing,1000000,16000000,0.100,0.100,3845153.934,124281.223
AdaptiveLocks/squashing,1000000,16000000,0.100,0.100,3884920.158,73985.851
LazyUnions/squashing,1000000,16000000,0.100,0.100,3540624.283,158956.711
Usual,1000000,64000000,0.100,0.100,4255814.297,102211.143
SeveralDSU,1000000,64000000,0.100,0.100,4353222.622,36809.081
ParallelUnions/halfing,1000000,64000000,0.100,0.100,4490717.915,36308.868
Adaptive/halfing,1000000,64000000,0.100,0.100,4381614.298,59788.016
AdaptiveLocks/halfing,1000000,64000000,0.100,0.100,4347029.118,33761.523
LazyUnions/halfing,1000000,64000000,0.100,0.100,4183802.142,83766.906
ParallelUnions/squashing,1000000,64000000,0.100,0.100,4319110.260,75754.065
Adaptive/squashing,1000000,64000000,0.100,0.100,4304376.154,51140.861
AdaptiveLocks/squashing,1000000,64000000,0.100,0.100,4284908.169,38284.059
LazyUnions/squashing,1000000,64000000,0.100,0.100,4062815.742,104038.365
Usual,1000000,4000000,0.300,0.100,2096380.641,178349.217
SeveralDSU,1000000,4000000,0.300,0.100,2204529.945,143303.350
ParallelUnions/halfing,1000000,4000000,0.300,0.100,2569001.961,114434.166
Adaptive/halfing,1000000,4000000,0.300,0.100,2759178.108,195816.437
AdaptiveLocks/halfing,1000000,4000000,0.300,0.100,2786370.232,44534.086
LazyUnions/halfing,1000000,4000000,0.300,0.100,1629534.910,165366.654
ParallelUnions/squashing,1000000,4000000,0.300,0.100,1935942.546,249904.289
Adaptive/squashing,1000000,4000000,0.300,0.100,2341776.280,241185.848
AdaptiveLocks/squashing,1000000,4000000,0.300,0.100,2539034.561,196160.684
LazyUnions/squashing,1000000,4000000,0.300,0.100,1172058.880,163943.875
Usual,1000000,16000000,0.300,0.100,3245430.505,156381.484
SeveralDSU,1000000,16000000,0.300,0.100,3690696.349,35205.259
ParallelUnions/halfing,1000000,16000000,0.300,0.100,3833344.689,35263.189
Adaptive/halfing,1000000,16000000,0.300,0.100,3911319.715,139054.936
AdaptiveLocks/halfing,1000000,16000000,0.300,0.100,3891611.637,27400.863
LazyUnions/halfing,1000000,16000000,0.300,0.100,3278404.695,164904.502
ParallelUnions/squashing,1000000,16000000,0.300,0.100,3551500.676,58247.946
Adaptive/squashing,1000000,16000000,0.300,0.100,3840726.449,165495.130
AdaptiveLocks/squashing,1000000,16000000,0.300,0.100,3722426.086,42396.642
LazyUnions/squashing,1000000,16000000,0.300,0.100,3268816.500,243583.802
Usual,1000000,64000000,0.300,0.100,4232168.418,88250.008
SeveralDSU,1000000,64000000,0.300,0.100,4285281.796,39965.041
ParallelUnions/halfing,1000000,64000000,0.300,0.100,4495075.801,37258.796
Adaptive/halfing,1000000,64000000,0.300,0.100,4337399.607,61457.148
AdaptiveLocks/halfing,1000000,64000000,0.300,0.100,4328769.469,36564.282
LazyUnions/halfing,1000000,64000000,0.300,0.100,4211164.517,89470.465
ParallelUnions/squashing,1000000,64000000,0.300,0.100,4363318.243,65122.648
Adaptive/squashing,1000000,64000000,0.300,0.100,4265005.987,65337.823
AdaptiveLocks/squashing,1000000,64000000,0.300,0.100,4298948.628,43286.163
LazyUnions/squashing,1000000,64000000,0.300,0.100,4113423.014,131412.589
Usual,1000000,4000000,0.500,0.100,1688659.602,151855.681
SeveralDSU,1000000,4000000,0.500,0.100,2195431.066,174056.224
ParallelUnions/halfing,1000000,4000000,0.500,0.100,2782294.115,109815.494
Adaptive/halfing,1000000,4000000,0.500,0.100,2898613.371,231205.259
AdaptiveLocks/halfing,1000000,4000000,0.500,0.100,2911961.340,83737.257
LazyUnions/halfing,1000000,4000000,0.500,0.100,2609798.846,144122.230
ParallelUnions/squashing,1000000,4000000,0.500,0.100,2659601.223,225319.941
Adaptive/squashing,1000000,4000000,0.500,0.100,2783695.507,243222.325
AdaptiveLocks/squashing,1000000,4000000,0.500,0.100,2890252.547,132768.310
LazyUnions/squashing,1000000,4000000,0.500,0.100,2668091.568,254188.443
Usual,1000000,16000000,0.500,0.100,3464046.049,102104.770
SeveralDSU,1000000,16000000,0.500,0.100,3714676.448,38994.569
ParallelUnions/halfing,1000000,16000000,0.500,0.100,3770584.243,84333.309
Adaptive/halfing,1000000,16000000,0.500,0.100,3908948.272,136912.222
AdaptiveLocks/halfing,1000000,16000000,0.500,0.100,3858125.146,38538.475
LazyUnions/halfing,1000000,16000000,0.500,0.100,2993826.030,102418.686
ParallelUnions/squashing,1000000,16000000,0.500,0.100,3327854.923,147226.055
Adaptive/squashing,1000000,16000000,0.500,0.100,3696889.884,197609.173
AdaptiveLocks/squashing,1000000,16000000,0.500,0.100,3630859.935,102297.106
LazyUnions/squashing,1000000,16000000,0.500,0.100,2796388.289,268967.057
Usual,1000000,64000000,0.500,0.100,4228428.389,91200.675
SeveralDSU,1000000,64000000,0.500,0.100,4315881.932,43986.003
ParallelUnions/halfing,1000000,64000000,0.500,0.100,4465807.301,54275.850
Adaptive/halfing,1000000,64000000,0.500,0.100,4318686.824,60331.110
AdaptiveLocks/halfing,1000000,64000000,0.500,0.100,4324180.172,44747.285
LazyUnions/halfing,1000000,64000000,0.500,0.100,4032573.902,229662.583
ParallelUnions/squashing,1000000,64000000,0.500,0.100,4322383.035,185868.797
Adaptive/squashing,1000000,64000000,0.500,0.100,4186962.789,127359.673
